ranking,selection,param,mined,after_pruning,classifier,total_items,no_cov_ant,no_cov_rule,no_matches_train,no_matches_test,seed
1,select_coverage,1.0,10792,4761,26,98.0,0.0,0.0,0,3,5
1,select_coverage,2.0,10792,4761,127,510.0,0.0,0.0,0,0,5
1,select_coverage,3.0,10792,4761,207,854.0,0.0,0.0,0,0,5
1,select_coverage,4.0,10792,4761,302,1280.0,0.0,0.0,0,0,5
1,select_coverage_CBA_M1,,10792,4761,8,24.0,261.0,261.0,261,71,5
2,select_coverage,1.0,10792,4761,26,98.0,0.0,0.0,0,3,5
2,select_coverage,2.0,10792,4761,127,510.0,0.0,0.0,0,0,5
2,select_coverage,3.0,10792,4761,207,854.0,0.0,0.0,0,0,5
2,select_coverage,4.0,10792,4761,302,1280.0,0.0,0.0,0,0,5
2,select_coverage_CBA_M1,,10792,4761,12,36.0,124.0,124.0,124,36,5
1,select_coverage,1.0,10930,4916,28,108.0,0.0,0.0,0,0,14
1,select_coverage,2.0,10930,4916,135,544.0,0.0,0.0,0,0,14
1,select_coverage,3.0,10930,4916,209,868.0,0.0,0.0,0,0,14
1,select_coverage,4.0,10930,4916,309,1302.0,0.0,0.0,0,0,14
1,select_coverage_CBA_M1,,10930,4916,8,24.0,266.0,266.0,266,66,14
2,select_coverage,1.0,10930,4916,28,108.0,0.0,0.0,0,0,14
2,select_coverage,2.0,10930,4916,135,544.0,0.0,0.0,0,0,14
2,select_coverage,3.0,10930,4916,209,868.0,0.0,0.0,0,0,14
2,select_coverage,4.0,10930,4916,309,1302.0,0.0,0.0,0,0,14
2,select_coverage_CBA_M1,,10930,4916,11,33.0,156.0,156.0,156,40,14
1,select_coverage,1.0,10735,4627,30,118.0,0.0,0.0,0,0,17
1,select_coverage,2.0,10735,4627,130,535.0,0.0,0.0,0,0,17
1,select_coverage,3.0,10735,4627,211,890.0,0.0,0.0,0,0,17
1,select_coverage,4.0,10735,4627,302,1296.0,0.0,0.0,0,0,17
1,select_coverage_CBA_M1,,10735,4627,8,24.0,262.0,262.0,262,70,17
2,select_coverage,1.0,10735,4627,30,118.0,0.0,0.0,0,0,17
2,select_coverage,2.0,10735,4627,130,535.0,0.0,0.0,0,0,17
2,select_coverage,3.0,10735,4627,211,890.0,0.0,0.0,0,0,17
2,select_coverage,4.0,10735,4627,302,1296.0,0.0,0.0,0,0,17
2,select_coverage_CBA_M1,,10735,4627,11,33.0,157.0,157.0,157,39,17
1,select_coverage,1.0,10677,4813,25,93.0,0.0,0.0,0,2,19
1,select_coverage,2.0,10677,4813,135,549.0,0.0,0.0,0,1,19
1,select_coverage,3.0,10677,4813,213,895.0,0.0,0.0,0,1,19
1,select_coverage,4.0,10677,4813,296,1262.0,0.0,0.0,0,0,19
1,select_coverage_CBA_M1,,10677,4813,8,24.0,258.0,258.0,258,74,19
2,select_coverage,1.0,10677,4813,25,93.0,0.0,0.0,0,2,19
2,select_coverage,2.0,10677,4813,135,549.0,0.0,0.0,0,1,19
2,select_coverage,3.0,10677,4813,213,895.0,0.0,0.0,0,1,19
2,select_coverage,4.0,10677,4813,296,1262.0,0.0,0.0,0,0,19
2,select_coverage_CBA_M1,,10677,4813,15,45.0,34.0,34.0,34,18,19
1,select_coverage,1.0,10885,4898,26,98.0,0.0,0.0,0,2,29
1,select_coverage,2.0,10885,4898,140,572.0,0.0,0.0,0,1,29
1,select_coverage,3.0,10885,4898,210,880.0,0.0,0.0,0,1,29
1,select_coverage,4.0,10885,4898,299,1261.0,0.0,0.0,0,1,29
1,select_coverage_CBA_M1,,10885,4898,8,24.0,262.0,262.0,262,70,29
2,select_coverage,1.0,10885,4898,26,98.0,0.0,0.0,0,2,29
2,select_coverage,2.0,10885,4898,140,572.0,0.0,0.0,0,1,29
