ranking,selection,param,mined,after_pruning,classifier,total_items,no_cov_ant,no_cov_rule,no_matches_train,no_matches_test,seed
1,select_coverage,1.0,1633,519,82,310.0,0.0,11.0,0,0,5
1,select_coverage,2.0,1633,519,132,516.0,0.0,11.0,0,0,5
1,select_coverage,3.0,1633,519,165,643.0,0.0,11.0,0,0,5
1,select_coverage,4.0,1633,519,189,740.0,0.0,11.0,0,0,5
1,select_coverage_CBA_M1,,1633,519,47,202.0,91.0,91.0,91,21,5
2,select_coverage,1.0,1633,519,82,310.0,0.0,11.0,0,0,5
2,select_coverage,2.0,1633,519,132,516.0,0.0,11.0,0,0,5
2,select_coverage,3.0,1633,519,165,643.0,0.0,11.0,0,0,5
2,select_coverage,4.0,1633,519,189,740.0,0.0,11.0,0,0,5
2,select_coverage_CBA_M1,,1633,519,47,202.0,91.0,91.0,91,21,5
1,select_coverage,1.0,1472,533,74,287.0,1.0,12.0,1,0,14
1,select_coverage,2.0,1472,533,124,495.0,0.0,12.0,0,0,14
1,select_coverage,3.0,1472,533,157,627.0,0.0,12.0,0,0,14
1,select_coverage,4.0,1472,533,190,771.0,0.0,12.0,0,0,14
1,select_coverage_CBA_M1,,1472,533,37,159.0,98.0,98.0,98,28,14
2,select_coverage,1.0,1472,533,74,287.0,1.0,12.0,1,0,14
2,select_coverage,2.0,1472,533,124,495.0,0.0,12.0,0,0,14
2,select_coverage,3.0,1472,533,157,627.0,0.0,12.0,0,0,14
2,select_coverage,4.0,1472,533,190,771.0,0.0,12.0,0,0,14
2,select_coverage_CBA_M1,,1472,533,37,159.0,98.0,98.0,98,28,14
1,select_coverage,1.0,1709,611,72,284.0,0.0,10.0,0,0,17
1,select_coverage,2.0,1709,611,132,523.0,0.0,9.0,0,0,17
1,select_coverage,3.0,1709,611,175,700.0,0.0,9.0,0,0,17
1,select_coverage,4.0,1709,611,206,831.0,0.0,9.0,0,0,17
1,select_coverage_CBA_M1,,1709,611,42,184.0,83.0,83.0,83,22,17
2,select_coverage,1.0,1709,611,72,284.0,0.0,10.0,0,0,17
2,select_coverage,2.0,1709,611,132,523.0,0.0,9.0,0,0,17
2,select_coverage,3.0,1709,611,175,700.0,0.0,9.0,0,0,17
2,select_coverage,4.0,1709,611,206,831.0,0.0,9.0,0,0,17
2,select_coverage_CBA_M1,,1709,611,42,184.0,83.0,83.0,83,22,17
1,select_coverage,1.0,1670,486,74,288.0,1.0,13.0,1,1,19
1,select_coverage,2.0,1670,486,136,534.0,0.0,12.0,0,0,19
1,select_coverage,3.0,1670,486,178,708.0,0.0,12.0,0,0,19
1,select_coverage,4.0,1670,486,205,825.0,0.0,12.0,0,0,19
1,select_coverage_CBA_M1,,1670,486,41,176.0,92.0,92.0,92,18,19
2,select_coverage,1.0,1670,486,74,288.0,1.0,13.0,1,1,19
2,select_coverage,2.0,1670,486,136,534.0,0.0,12.0,0,0,19
2,select_coverage,3.0,1670,486,178,708.0,0.0,12.0,0,0,19
2,select_coverage,4.0,1670,486,205,825.0,0.0,12.0,0,0,19
2,select_coverage_CBA_M1,,1670,486,41,176.0,92.0,92.0,92,18,19
1,select_coverage,1.0,1528,572,78,300.0,0.0,10.0,0,0,29
1,select_coverage,2.0,1528,572,132,525.0,0.0,10.0,0,0,29
1,select_coverage,3.0,1528,572,171,678.0,0.0,10.0,0,0,29
1,select_coverage,4.0,1528,572,195,781.0,0.0,10.0,0,0,29
1,select_coverage_CBA_M1,,1528,572,44,194.0,76.0,76.0,76,19,29
2,select_coverage,1.0,1528,572,78,300.0,0.0,10.0,0,0,29
2,select_coverage,2.0,1528,572,132,525.0,0.0,10.0,0,0,29
2,select_coverage,3.0,1528,572,171,678.0,0.0,10.0,0,0,29
2,select_coverage,4.0,1528,572,195,781.0,0.0,10.0,0,0,29
2,select_coverage_CBA_M1,,1528,572,44,194.0,76.0,76.0,76,19,29
1,select_coverage,1.0,1610,455,73,311.0,0.0,10.0,0,1,31
1,select_coverage,2.0,1610,455,125,528.0,0.0,9.0,0,0,31
1,select_coverage,3.0,1610,455,155,648.0,0.0,9.0,0,0,31
1,select_coverage,4.0,1610,455,181,758.0,0.0,9.0,0,0,31
1,select_coverage_CBA_M1,,1610,455,46,213.0,86.0,86.0,86,25,31
2,select_coverage,1.0,1610,455,73,311.0,0.0,10.0,0,1,31
2,select_coverage,2.0,1610,455,125,528.0,0.0,9.0,0,0,31
2,select_coverage,3.0,1610,455,155,648.0,0.0,9.0,0,0,31
2,select_coverage,4.0,1610,455,181,758.0,0.0,9.0,0,0,31
2,select_coverage_CBA_M1,,1610,455,46,213.0,86.0,86.0,86,25,31
1,select_coverage,1.0,1845,551,88,355.0,0.0,10.0,0,0,34
1,select_coverage,2.0,1845,551,139,573.0,0.0,10.0,0,0,34
1,select_coverage,3.0,1845,551,183,747.0,0.0,10.0,0,0,34
1,select_coverage,4.0,1845,551,219,897.0,0.0,10.0,0,0,34
1,select_coverage_CBA_M1,,1845,551,55,242.0,70.0,70.0,70,24,34
2,select_coverage,1.0,1845,551,88,355.0,0.0,10.0,0,0,34
2,select_coverage,2.0,1845,551,139,573.0,0.0,10.0,0,0,34
2,select_coverage,3.0,1845,551,183,747.0,0.0,10.0,0,0,34
2,select_coverage,4.0,1845,551,219,897.0,0.0,10.0,0,0,34
2,select_coverage_CBA_M1,,1845,551,55,242.0,70.0,70.0,70,24,34
1,select_coverage,1.0,1539,580,79,301.0,0.0,8.0,0,0,42
1,select_coverage,2.0,1539,580,129,496.0,0.0,8.0,0,0,42
1,select_coverage,3.0,1539,580,164,637.0,0.0,8.0,0,0,42
1,select_coverage,4.0,1539,580,193,758.0,0.0,8.0,0,0,42
1,select_coverage_CBA_M1,,1539,580,45,195.0,83.0,83.0,83,20,42
2,select_coverage,1.0,1539,580,79,301.0,0.0,8.0,0,0,42
2,select_coverage,2.0,1539,580,129,496.0,0.0,8.0,0,0,42
2,select_coverage,3.0,1539,580,164,637.0,0.0,8.0,0,0,42
2,select_coverage,4.0,1539,580,193,758.0,0.0,8.0,0,0,42
2,select_coverage_CBA_M1,,1539,580,45,195.0,83.0,83.0,83,20,42
1,select_coverage,1.0,1515,523,70,258.0,0.0,10.0,0,0,49
1,select_coverage,2.0,1515,523,118,453.0,0.0,10.0,0,0,49
1,select_coverage,3.0,1515,523,153,589.0,0.0,10.0,0,0,49
1,select_coverage,4.0,1515,523,180,701.0,0.0,10.0,0,0,49
1,select_coverage_CBA_M1,,1515,523,38,158.0,101.0,101.0,101,19,49
2,select_coverage,1.0,1515,523,70,258.0,0.0,10.0,0,0,49
2,select_coverage,2.0,1515,523,118,453.0,0.0,10.0,0,0,49
2,select_coverage,3.0,1515,523,153,589.0,0.0,10.0,0,0,49
2,select_coverage,4.0,1515,523,180,701.0,0.0,10.0,0,0,49
2,select_coverage_CBA_M1,,1515,523,38,158.0,101.0,101.0,101,19,49
1,select_coverage,1.0,1637,694,78,315.0,0.0,9.0,0,0,63
1,select_coverage,2.0,1637,694,137,551.0,0.0,9.0,0,0,63
1,select_coverage,3.0,1637,694,180,741.0,0.0,9.0,0,0,63
1,select_coverage,4.0,1637,694,213,874.0,0.0,9.0,0,0,63
1,select_coverage_CBA_M1,,1637,694,45,203.0,71.0,71.0,71,25,63
2,select_coverage,1.0,1637,694,78,315.0,0.0,9.0,0,0,63
2,select_coverage,2.0,1637,694,137,551.0,0.0,9.0,0,0,63
2,select_coverage,3.0,1637,694,180,741.0,0.0,9.0,0,0,63
2,select_coverage,4.0,1637,694,213,874.0,0.0,9.0,0,0,63
2,select_coverage_CBA_M1,,1637,694,45,203.0,71.0,71.0,71,25,63
1,select_coverage,1.0,1684,589,78,310.0,0.0,10.0,0,0,64
1,select_coverage,2.0,1684,589,136,543.0,0.0,9.0,0,0,64
1,select_coverage,3.0,1684,589,171,672.0,0.0,9.0,0,0,64
1,select_coverage,4.0,1684,589,197,781.0,0.0,9.0,0,0,64
1,select_coverage_CBA_M1,,1684,589,44,191.0,93.0,93.0,93,25,64
2,select_coverage,1.0,1684,589,78,310.0,0.0,10.0,0,0,64
2,select_coverage,2.0,1684,589,136,543.0,0.0,9.0,0,0,64
2,select_coverage,3.0,1684,589,171,672.0,0.0,9.0,0,0,64
2,select_coverage,4.0,1684,589,197,781.0,0.0,9.0,0,0,64
2,select_coverage_CBA_M1,,1684,589,44,191.0,93.0,93.0,93,25,64
1,select_coverage,1.0,1717,559,68,262.0,0.0,10.0,0,0,65
1,select_coverage,2.0,1717,559,122,479.0,0.0,9.0,0,0,65
1,select_coverage,3.0,1717,559,164,654.0,0.0,9.0,0,0,65
1,select_coverage,4.0,1717,559,199,797.0,0.0,9.0,0,0,65
1,select_coverage_CBA_M1,,1717,559,41,176.0,73.0,73.0,73,20,65
2,select_coverage,1.0,1717,559,68,262.0,0.0,10.0,0,0,65
2,select_coverage,2.0,1717,559,122,479.0,0.0,9.0,0,0,65
2,select_coverage,3.0,1717,559,164,654.0,0.0,9.0,0,0,65
2,select_coverage,4.0,1717,559,199,797.0,0.0,9.0,0,0,65
2,select_coverage_CBA_M1,,1717,559,41,176.0,73.0,73.0,73,20,65
1,select_coverage,1.0,1411,552,69,269.0,0.0,7.0,0,0,68
1,select_coverage,2.0,1411,552,117,464.0,0.0,7.0,0,0,68
1,select_coverage,3.0,1411,552,152,595.0,0.0,7.0,0,0,68
1,select_coverage,4.0,1411,552,179,704.0,0.0,7.0,0,0,68
1,select_coverage_CBA_M1,,1411,552,37,158.0,99.0,99.0,99,24,68
2,select_coverage,1.0,1411,552,69,269.0,0.0,7.0,0,0,68
2,select_coverage,2.0,1411,552,117,464.0,0.0,7.0,0,0,68
2,select_coverage,3.0,1411,552,152,595.0,0.0,7.0,0,0,68
2,select_coverage,4.0,1411,552,179,704.0,0.0,7.0,0,0,68
2,select_coverage_CBA_M1,,1411,552,37,158.0,99.0,99.0,99,24,68
1,select_coverage,1.0,1669,597,77,289.0,0.0,15.0,0,1,74
1,select_coverage,2.0,1669,597,132,519.0,0.0,13.0,0,0,74
1,select_coverage,3.0,1669,597,171,683.0,0.0,13.0,0,0,74
1,select_coverage,4.0,1669,597,200,801.0,0.0,12.0,0,0,74
1,select_coverage_CBA_M1,,1669,597,44,185.0,85.0,85.0,85,19,74
2,select_coverage,1.0,1669,597,77,289.0,0.0,15.0,0,1,74
2,select_coverage,2.0,1669,597,132,519.0,0.0,13.0,0,0,74
2,select_coverage,3.0,1669,597,171,683.0,0.0,13.0,0,0,74
2,select_coverage,4.0,1669,597,200,801.0,0.0,12.0,0,0,74
2,select_coverage_CBA_M1,,1669,597,44,185.0,85.0,85.0,85,19,74
1,select_coverage,1.0,1694,597,76,298.0,0.0,8.0,0,1,76
1,select_coverage,2.0,1694,597,119,478.0,0.0,8.0,0,0,76
1,select_coverage,3.0,1694,597,160,645.0,0.0,8.0,0,0,76
1,select_coverage,4.0,1694,597,185,748.0,0.0,8.0,0,0,76
1,select_coverage_CBA_M1,,1694,597,47,200.0,77.0,77.0,77,10,76
2,select_coverage,1.0,1694,597,76,298.0,0.0,8.0,0,1,76
2,select_coverage,2.0,1694,597,119,478.0,0.0,8.0,0,0,76
2,select_coverage,3.0,1694,597,160,645.0,0.0,8.0,0,0,76
2,select_coverage,4.0,1694,597,185,748.0,0.0,8.0,0,0,76
2,select_coverage_CBA_M1,,1694,597,47,200.0,77.0,77.0,77,10,76
1,select_coverage,1.0,1602,566,83,338.0,0.0,7.0,0,0,100
1,select_coverage,2.0,1602,566,133,556.0,0.0,7.0,0,0,100
1,select_coverage,3.0,1602,566,167,696.0,0.0,7.0,0,0,100
1,select_coverage,4.0,1602,566,194,793.0,0.0,7.0,0,0,100
1,select_coverage_CBA_M1,,1602,566,46,208.0,88.0,88.0,88,25,100
2,select_coverage,1.0,1602,566,83,338.0,0.0,7.0,0,0,100
2,select_coverage,2.0,1602,566,133,556.0,0.0,7.0,0,0,100
2,select_coverage,3.0,1602,566,167,696.0,0.0,7.0,0,0,100
2,select_coverage,4.0,1602,566,194,793.0,0.0,7.0,0,0,100
2,select_coverage_CBA_M1,,1602,566,46,208.0,88.0,88.0,88,25,100
1,select_coverage,1.0,1669,572,75,287.0,0.0,10.0,0,0,114
1,select_coverage,2.0,1669,572,132,527.0,0.0,10.0,0,0,114
1,select_coverage,3.0,1669,572,174,698.0,0.0,10.0,0,0,114
1,select_coverage,4.0,1669,572,201,817.0,0.0,10.0,0,0,114
1,select_coverage_CBA_M1,,1669,572,45,189.0,66.0,66.0,66,16,114
2,select_coverage,1.0,1669,572,75,287.0,0.0,10.0,0,0,114
2,select_coverage,2.0,1669,572,132,527.0,0.0,10.0,0,0,114
2,select_coverage,3.0,1669,572,174,698.0,0.0,10.0,0,0,114
2,select_coverage,4.0,1669,572,201,817.0,0.0,10.0,0,0,114
2,select_coverage_CBA_M1,,1669,572,45,189.0,66.0,66.0,66,16,114
1,select_coverage,1.0,1849,535,78,296.0,0.0,13.0,0,0,133
1,select_coverage,2.0,1849,535,129,486.0,0.0,13.0,0,0,133
1,select_coverage,3.0,1849,535,169,644.0,0.0,13.0,0,0,133
1,select_coverage,4.0,1849,535,202,783.0,0.0,13.0,0,0,133
1,select_coverage_CBA_M1,,1849,535,41,172.0,90.0,90.0,90,22,133
2,select_coverage,1.0,1849,535,78,296.0,0.0,13.0,0,0,133
2,select_coverage,2.0,1849,535,129,486.0,0.0,13.0,0,0,133
2,select_coverage,3.0,1849,535,169,644.0,0.0,13.0,0,0,133
2,select_coverage,4.0,1849,535,202,783.0,0.0,13.0,0,0,133
2,select_coverage_CBA_M1,,1849,535,41,172.0,90.0,90.0,90,22,133
1,select_coverage,1.0,1513,572,76,298.0,0.0,9.0,0,0,138
1,select_coverage,2.0,1513,572,129,510.0,0.0,9.0,0,0,138
1,select_coverage,3.0,1513,572,162,631.0,0.0,9.0,0,0,138
1,select_coverage,4.0,1513,572,194,749.0,0.0,9.0,0,0,138
1,select_coverage_CBA_M1,,1513,572,44,197.0,78.0,78.0,78,24,138
2,select_coverage,1.0,1513,572,76,298.0,0.0,9.0,0,0,138
2,select_coverage,2.0,1513,572,129,510.0,0.0,9.0,0,0,138
2,select_coverage,3.0,1513,572,162,631.0,0.0,9.0,0,0,138
2,select_coverage,4.0,1513,572,194,749.0,0.0,9.0,0,0,138
2,select_coverage_CBA_M1,,1513,572,44,197.0,78.0,78.0,78,24,138
1,select_coverage,1.0,1628,529,73,289.0,0.0,12.0,0,0,148
1,select_coverage,2.0,1628,529,126,522.0,0.0,12.0,0,0,148
1,select_coverage,3.0,1628,529,160,661.0,0.0,12.0,0,0,148
1,select_coverage,4.0,1628,529,187,777.0,0.0,12.0,0,0,148
1,select_coverage_CBA_M1,,1628,529,40,177.0,100.0,100.0,100,33,148
