1,2,3,4,5,6,7,8,9,10
6,8,9,17,16,14,14,17,19,16
10,12,15,22,21,23,18,18,19,16
5,14,12,13,15,12,16,19,25,21
10,13,17,10,17,12,18,13,19,14
15,15,17,14,22,20,18,15,22,12
8,12,12,17,15,18,17,18,14,20
5,17,11,18,12,20,13,19,15,12
7,18,17,13,19,18,18,22,15,22
14,18,17,17,18,20,17,20,22,17
17,15,13,12,28,14,20,22,20,22
7,19,16,12,11,22,20,16,20,16
5,9,11,14,10,15,17,17,13,20
14,17,17,14,21,18,21,19,19,21
6,12,14,9,14,13,19,16,12,19
7,10,14,16,13,19,22,15,22,17
6,11,11,17,17,12,23,16,16,16
11,9,13,10,8,18,16,16,15,21
8,14,23,19,17,15,18,19,19,16
6,18,13,15,13,18,16,24,22,19
10,12,14,14,17,24,16,20,20,12
