seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test,acc_test_maj,bacc_test_maj,f1_test_maj,mcc_test_maj,erros_test_maj,nclients
5,1,select_coverage,1.0,DAC,list,win,467,0.7895944345766726,0.5885769540396216,0.6078158179849954,0.5497594216773772,2843,,,,,,2
5,1,select_coverage,1.0,exact,majority,win,658,0.8099467140319716,0.6390033631332273,0.6531624563649495,0.6038446726033992,2568,,,,,,2
5,1,select_coverage,1.0,exact,cmar,win,658,0.8082445233866193,0.6336601970326075,0.6436138109617402,0.6023543314210746,2591,,,,,,2
5,1,select_coverage,1.0,exact,top_k_avg,win,658,0.7949970396684428,0.576936138679307,0.5937476459931533,0.5569565963408415,2770,,,,,,2
5,1,select_coverage,1.0,exact,list,win,658,0.8029159265837774,0.5923991533030996,0.6084218344737096,0.5771798150166663,2663,,,,,,2
5,1,select_coverage,2.0,DAC,list,win,393,0.7880402605091771,0.5872016196240009,0.6055329452562591,0.5468464741553736,2864,,,,,,2
5,1,select_coverage,2.0,exact,majority,win,564,0.8084665482534044,0.6430249779525857,0.6542819711235813,0.603645430298732,2588,,,,,,2
5,1,select_coverage,2.0,exact,cmar,win,564,0.8069863824748372,0.6334680324243892,0.6413334825255949,0.6012762610547677,2608,,,,,,2
5,1,select_coverage,2.0,exact,top_k_avg,win,564,0.7958851391355832,0.5786460432678178,0.5935814444996829,0.5598905856453358,2758,,,,,,2
5,1,select_coverage,2.0,exact,list,win,564,0.8021758436944938,0.5920955071521176,0.6064485815185515,0.5762919751147999,2673,,,,,,2
5,1,select_coverage,3.0,DAC,list,win,339,0.7858940201302546,0.5845362982093061,0.6019513859619332,0.5424725573780471,2893,,,,,,2
5,1,select_coverage,3.0,exact,majority,win,506,0.8072824156305506,0.6449827159601127,0.6554655124625781,0.6023825874622482,2604,,,,,,2
5,1,select_coverage,3.0,exact,cmar,win,506,0.8070603907637656,0.6341875651012031,0.6418238382100414,0.6017688771177613,2607,,,,,,2
5,1,select_coverage,3.0,exact,top_k_avg,win,506,0.7958111308466548,0.5789880450626764,0.5930488327631281,0.5601275914192029,2759,,,,,,2
5,1,select_coverage,3.0,exact,list,win,506,0.8016577856719953,0.5920582897563703,0.6054456206731418,0.5755517270121645,2680,,,,,,2
5,1,select_coverage,4.0,DAC,list,win,300,0.7847098875074008,0.5829118454231248,0.6000131027596364,0.5399572750039598,2909,,,,,,2
5,1,select_coverage,4.0,exact,majority,win,469,0.8071343990526939,0.647755212823706,0.6572757008699557,0.6033455214807756,2606,,,,,,2
5,1,select_coverage,4.0,exact,cmar,win,469,0.8075044404973357,0.6361754894573678,0.643655896083768,0.6032436877564957,2601,,,,,,2
5,1,select_coverage,4.0,exact,top_k_avg,win,469,0.7947010065127295,0.5775934580822865,0.5907397409509781,0.5578007196942225,2774,,,,,,2
5,1,select_coverage,4.0,exact,list,win,469,0.8014357608052102,0.591950438702352,0.6047817662337124,0.5752984092752254,2683,,,,,,2
5,1,select_coverage_CBA_M1,,DAC,list,win,821,0.7941089402013025,0.5716391039157352,0.589727092300581,0.5534294106028258,2782,,,,,,2
5,1,select_coverage_CBA_M1,,exact,majority,win,854,0.8101687388987566,0.6187667440076491,0.6310687236410334,0.6000342748086155,2565,,,,,,2
5,1,select_coverage_CBA_M1,,exact,cmar,win,854,0.8077264653641207,0.6190255704964372,0.6265224156470092,0.5982728514987737,2598,,,,,,2
