1,2,3,4,5,6,7,8,9,10
0,376,412,356,400,416,408,444,484,600
0,160,272,384,332,392,324,400,460,460
0,164,392,400,328,328,388,424,480,460
0,164,348,404,372,392,380,448,440,440
0,236,228,480,336,360,340,424,500,500
0,308,320,432,448,480,364,440,508,500
0,232,460,388,424,444,428,460,460,520
0,208,392,428,392,392,348,384,460,504
0,232,312,340,456,392,368,400,440,520
0,284,300,428,440,416,388,380,440,460
0,260,320,424,348,388,404,428,444,532
0,240,464,388,432,392,424,444,532,504
0,260,464,404,368,432,384,440,440,548
0,260,420,412,464,480,444,428,500,520
0,144,408,452,404,392,436,428,448,524
0,160,296,448,444,408,388,460,440,504
0,232,328,432,380,412,384,400,484,500
0,232,432,584,428,372,344,448,424,524
0,160,240,400,404,396,440,460,440,528
0,208,324,356,424,388,440,400,420,464
