ranking,selection,param,strategy,acc_train,bacc_train,f1_train,mcc_train,erros_train,acc_test,bacc_test,f1_test,mcc_test,erros_test,seed
1,select_coverage,1.0,majority,0.9992163009404388,0.9989228563274796,0.9992075072421672,0.998730616130796,2,0.9529780564263324,0.9538501782936132,0.947863902428063,0.9233583255789192,30,5
1,select_coverage,1.0,cmar,0.9992163009404388,0.9989228563274796,0.9992075072421672,0.998730616130796,2,0.945141065830721,0.9501356132887256,0.940177106430319,0.9115804856856318,35,5
1,select_coverage,1.0,top_k_avg,0.9992163009404388,0.9989228563274796,0.9992075072421672,0.998730616130796,2,0.945141065830721,0.94582903088128,0.937903293325488,0.9110071562622506,35,5
1,select_coverage,1.0,list,0.9992163009404388,0.9989228563274796,0.9992075072421672,0.998730616130796,2,0.9467084639498432,0.9468065479878292,0.939419871411085,0.9134174013806294,34,5
1,select_coverage,2.0,majority,0.9992163009404388,0.9989228563274796,0.9992075072421672,0.998730616130796,2,0.9608150470219436,0.9624537056159048,0.956418201281215,0.936167897706347,25,5
1,select_coverage,2.0,cmar,0.9992163009404388,0.9989228563274796,0.9992075072421672,0.998730616130796,2,0.9420062695924764,0.950723500337312,0.937843420912941,0.907350720593888,37,5
1,select_coverage,2.0,top_k_avg,0.9992163009404388,0.9989228563274796,0.9992075072421672,0.998730616130796,2,0.9341692789968652,0.9417262126030868,0.9276133506592812,0.8952080904786951,42,5
1,select_coverage,2.0,list,0.9992163009404388,0.9989228563274796,0.9992075072421672,0.998730616130796,2,0.9420062695924764,0.9466137981358336,0.9352210370553056,0.9069135651708778,37,5
1,select_coverage,3.0,majority,0.9992163009404388,0.9992138403009776,0.999062885255202,0.9987312367953975,2,0.957680250783699,0.9577588699351534,0.9518774469301596,0.9309942855624472,27,5
1,select_coverage,3.0,cmar,0.9992163009404388,0.9992138403009776,0.999062885255202,0.9987312367953975,2,0.938871473354232,0.9473985653903872,0.933090703589016,0.9028432706373302,39,5
1,select_coverage,3.0,top_k_avg,0.9992163009404388,0.9992138403009776,0.999062885255202,0.9987312367953975,2,0.926332288401254,0.93683862707034,0.919116897725508,0.8842422709257343,47,5
1,select_coverage,3.0,list,0.9992163009404388,0.9992138403009776,0.999062885255202,0.9987312367953975,2,0.9373040752351096,0.9436812468161856,0.9296427773462422,0.9002943188985773,40,5
