ranking,selection,param,strategy,acc_train,bacc_train,f1_train,mcc_train,erros_train,acc_test,bacc_test,f1_test,mcc_test,erros_test,seed
1,select_coverage,1.0,majority,0.793859649122807,0.6544117647058824,0.6719223586320914,0.4885736150500794,47,0.7931034482758621,0.6814921090387374,0.7025641025641025,0.4563361114925673,12,5
1,select_coverage,1.0,cmar,0.8728070175438597,0.7909926470588236,0.8251857335483701,0.6932880698310377,29,0.8103448275862069,0.7281205164992827,0.7471264367816093,0.5126738808838206,11,5
1,select_coverage,1.0,top_k_avg,0.8771929824561403,0.7983455882352941,0.832264844981608,0.7041788001615141,28,0.8275862068965517,0.757532281205165,0.7751937984496124,0.5622120199655017,10,5
1,select_coverage,1.0,list,0.9429824561403508,0.9128676470588236,0.9290620587320202,0.8625532928265333,13,0.7586206896551724,0.6915351506456241,0.6979166666666667,0.3982126159619517,14,5
1,select_coverage,2.0,majority,0.7982456140350878,0.6617647058823529,0.6816029143897996,0.5012833330676595,46,0.7931034482758621,0.6642754662840746,0.6847826086956521,0.4590764189392303,12,5
1,select_coverage,2.0,cmar,0.8859649122807017,0.8130514705882352,0.8461378737541528,0.7258133330809158,26,0.7931034482758621,0.6987087517934003,0.7175324675324675,0.4614430491495151,12,5
1,select_coverage,2.0,top_k_avg,0.8640350877192983,0.7720588235294117,0.8082214082214083,0.6751335858870686,31,0.8275862068965517,0.7403156384505021,0.7646103896103896,0.5580628933757674,10,5
1,select_coverage,2.0,list,0.9429824561403508,0.9128676470588236,0.9290620587320202,0.8625532928265333,13,0.7413793103448276,0.6793400286944046,0.6823658269441402,0.3652910091283433,15,5
1,select_coverage,3.0,majority,0.8070175438596491,0.6764705882352942,0.7004300047778309,0.5261336417646564,44,0.7758620689655172,0.6348637015781923,0.6474988312295465,0.4031476784255029,13,5
1,select_coverage,3.0,cmar,0.8859649122807017,0.8130514705882352,0.8461378737541528,0.7258133330809158,26,0.7931034482758621,0.6987087517934003,0.7175324675324675,0.4614430491495151,12,5
1,select_coverage,3.0,top_k_avg,0.8596491228070176,0.7647058823529411,0.8006993006993006,0.6642111641550715,32,0.8103448275862069,0.7109038737446198,0.7344985434873075,0.508288545353089,11,5
1,select_coverage,3.0,list,0.9429824561403508,0.9128676470588236,0.9290620587320202,0.8625532928265333,13,0.7413793103448276,0.6793400286944046,0.6823658269441402,0.3652910091283433,15,5
1,select_coverage,4.0,majority,0.8026315789473685,0.6691176470588236,0.6911034171308144,0.5137981337433638,45,0.7758620689655172,0.6348637015781923,0.6474988312295465,0.4031476784255029,13,5
1,select_coverage,4.0,cmar,0.8859649122807017,0.8130514705882352,0.8461378737541528,0.7258133330809158,26,0.7931034482758621,0.6987087517934003,0.7175324675324675,0.4614430491495151,12,5
1,select_coverage,4.0,top_k_avg,0.8464912280701754,0.7511029411764706,0.7834757834757835,0.6231300529200917,35,0.8103448275862069,0.7109038737446198,0.7344985434873075,0.508288545353089,11,5
1,select_coverage,4.0,list,0.9342105263157896,0.9066176470588236,0.9189246852997652,0.840441546430693,15,0.7413793103448276,0.6793400286944046,0.6823658269441402,0.3652910091283433,15,5
1,select_coverage_CBA_M1,,majority,0.9429824561403508,0.9044117647058824,0.927634952025196,0.8648958796831914,13,0.7758620689655172,0.7209469153515065,0.7247170500182549,0.450038523246119,13,5
1,select_coverage_CBA_M1,,cmar,0.9429824561403508,0.9044117647058824,0.927634952025196,0.8648958796831914,13,0.7931034482758621,0.7503586800573888,0.7503586800573888,0.5007173601147776,12,5
1,select_coverage_CBA_M1,,top_k_avg,0.9429824561403508,0.9044117647058824,0.927634952025196,0.8648958796831914,13,0.7586206896551724,0.6915351506456241,0.6979166666666667,0.3982126159619517,14,5
1,select_coverage_CBA_M1,,list,0.9429824561403508,0.9044117647058824,0.927634952025196,0.8648958796831914,13,0.7586206896551724,0.6915351506456241,0.6979166666666667,0.3982126159619517,14,5
2,select_coverage,1.0,majority,0.793859649122807,0.6544117647058824,0.6719223586320914,0.4885736150500794,47,0.7931034482758621,0.6814921090387374,0.7025641025641025,0.4563361114925673,12,5
2,select_coverage,1.0,cmar,0.8728070175438597,0.7909926470588236,0.8251857335483701,0.6932880698310377,29,0.8103448275862069,0.7281205164992827,0.7471264367816093,0.5126738808838206,11,5
2,select_coverage,1.0,top_k_avg,0.8771929824561403,0.7983455882352941,0.832264844981608,0.7041788001615141,28,0.8275862068965517,0.757532281205165,0.7751937984496124,0.5622120199655017,10,5
2,select_coverage,1.0,list,0.9429824561403508,0.9128676470588236,0.9290620587320202,0.8625532928265333,13,0.7758620689655172,0.7209469153515065,0.7247170500182549,0.450038523246119,13,5
2,select_coverage,2.0,majority,0.7982456140350878,0.6617647058823529,0.6816029143897996,0.5012833330676595,46,0.7931034482758621,0.6642754662840746,0.6847826086956521,0.4590764189392303,12,5
2,select_coverage,2.0,cmar,0.8859649122807017,0.8130514705882352,0.8461378737541528,0.7258133330809158,26,0.7931034482758621,0.6987087517934003,0.7175324675324675,0.4614430491495151,12,5
2,select_coverage,2.0,top_k_avg,0.8640350877192983,0.7720588235294117,0.8082214082214083,0.6751335858870686,31,0.8275862068965517,0.7403156384505021,0.7646103896103896,0.5580628933757674,10,5
2,select_coverage,2.0,list,0.9429824561403508,0.9128676470588236,0.9290620587320202,0.8625532928265333,13,0.7586206896551724,0.7087517934002869,0.7087517934002869,0.4175035868005738,14,5
2,select_coverage,3.0,majority,0.8070175438596491,0.6764705882352942,0.7004300047778309,0.5261336417646564,44,0.7758620689655172,0.6348637015781923,0.6474988312295465,0.4031476784255029,13,5
