ranking,selection,param,mined,after_pruning,classifier,total_items,no_cov_ant,no_cov_rule,no_matches_train,no_matches_test,seed
1,select_coverage,1.0,862,229,22,61.0,0.0,0.0,0,0,5
1,select_coverage,2.0,862,229,70,242.0,0.0,0.0,0,0,5
1,select_coverage,3.0,862,229,110,364.0,0.0,0.0,0,0,5
1,select_coverage,4.0,862,229,129,410.0,0.0,0.0,0,0,5
1,select_coverage_CBA_M1,,862,229,4,7.0,164.0,164.0,164,52,5
2,select_coverage,1.0,862,229,22,61.0,0.0,0.0,0,0,5
2,select_coverage,2.0,862,229,70,242.0,0.0,0.0,0,0,5
2,select_coverage,3.0,862,229,110,364.0,0.0,0.0,0,0,5
2,select_coverage,4.0,862,229,129,410.0,0.0,0.0,0,0,5
2,select_coverage_CBA_M1,,862,229,4,7.0,164.0,164.0,164,52,5
1,select_coverage,1.0,902,253,22,61.0,0.0,0.0,0,0,14
1,select_coverage,2.0,902,253,72,254.0,0.0,0.0,0,0,14
1,select_coverage,3.0,902,253,121,412.0,0.0,0.0,0,0,14
1,select_coverage,4.0,902,253,137,452.0,0.0,0.0,0,0,14
1,select_coverage_CBA_M1,,902,253,4,7.0,171.0,171.0,171,45,14
2,select_coverage,1.0,902,253,22,61.0,0.0,0.0,0,0,14
2,select_coverage,2.0,902,253,72,254.0,0.0,0.0,0,0,14
2,select_coverage,3.0,902,253,121,412.0,0.0,0.0,0,0,14
2,select_coverage,4.0,902,253,137,452.0,0.0,0.0,0,0,14
2,select_coverage_CBA_M1,,902,253,4,7.0,171.0,171.0,171,45,14
1,select_coverage,1.0,861,226,22,61.0,0.0,0.0,0,0,17
1,select_coverage,2.0,861,226,69,242.0,0.0,0.0,0,0,17
1,select_coverage,3.0,861,226,117,396.0,0.0,0.0,0,0,17
1,select_coverage,4.0,861,226,129,425.0,0.0,0.0,0,0,17
1,select_coverage_CBA_M1,,861,226,4,7.0,168.0,168.0,168,48,17
2,select_coverage,1.0,861,226,22,61.0,0.0,0.0,0,0,17
2,select_coverage,2.0,861,226,69,242.0,0.0,0.0,0,0,17
2,select_coverage,3.0,861,226,117,396.0,0.0,0.0,0,0,17
2,select_coverage,4.0,861,226,129,425.0,0.0,0.0,0,0,17
2,select_coverage_CBA_M1,,861,226,4,7.0,168.0,168.0,168,48,17
1,select_coverage,1.0,898,244,22,61.0,0.0,0.0,0,0,19
1,select_coverage,2.0,898,244,69,241.0,0.0,0.0,0,0,19
1,select_coverage,3.0,898,244,118,398.0,0.0,0.0,0,0,19
1,select_coverage,4.0,898,244,129,425.0,0.0,0.0,0,0,19
1,select_coverage_CBA_M1,,898,244,4,7.0,176.0,176.0,176,40,19
2,select_coverage,1.0,898,244,22,61.0,0.0,0.0,0,0,19
2,select_coverage,2.0,898,244,69,241.0,0.0,0.0,0,0,19
2,select_coverage,3.0,898,244,118,398.0,0.0,0.0,0,0,19
2,select_coverage,4.0,898,244,129,425.0,0.0,0.0,0,0,19
2,select_coverage_CBA_M1,,898,244,4,7.0,176.0,176.0,176,40,19
1,select_coverage,1.0,751,217,22,61.0,0.0,0.0,0,0,29
1,select_coverage,2.0,751,217,69,231.0,0.0,0.0,0,0,29
1,select_coverage,3.0,751,217,94,293.0,0.0,0.0,0,0,29
1,select_coverage,4.0,751,217,107,329.0,0.0,0.0,0,0,29
1,select_coverage_CBA_M1,,751,217,4,7.0,181.0,181.0,181,35,29
2,select_coverage,1.0,751,217,22,61.0,0.0,0.0,0,0,29
2,select_coverage,2.0,751,217,69,231.0,0.0,0.0,0,0,29
2,select_coverage,3.0,751,217,94,293.0,0.0,0.0,0,0,29
2,select_coverage,4.0,751,217,107,329.0,0.0,0.0,0,0,29
2,select_coverage_CBA_M1,,751,217,4,7.0,181.0,181.0,181,35,29
1,select_coverage,1.0,766,213,22,61.0,0.0,0.0,0,0,31
1,select_coverage,2.0,766,213,72,240.0,0.0,0.0,0,0,31
1,select_coverage,3.0,766,213,100,312.0,0.0,0.0,0,0,31
1,select_coverage,4.0,766,213,112,342.0,0.0,0.0,0,0,31
1,select_coverage_CBA_M1,,766,213,4,7.0,179.0,179.0,179,37,31
2,select_coverage,1.0,766,213,22,61.0,0.0,0.0,0,0,31
2,select_coverage,2.0,766,213,72,240.0,0.0,0.0,0,0,31
2,select_coverage,3.0,766,213,100,312.0,0.0,0.0,0,0,31
2,select_coverage,4.0,766,213,112,342.0,0.0,0.0,0,0,31
2,select_coverage_CBA_M1,,766,213,4,7.0,179.0,179.0,179,37,31
1,select_coverage,1.0,899,271,22,61.0,0.0,0.0,0,0,34
1,select_coverage,2.0,899,271,70,244.0,0.0,0.0,0,0,34
1,select_coverage,3.0,899,271,125,417.0,0.0,0.0,0,0,34
1,select_coverage,4.0,899,271,147,480.0,0.0,0.0,0,0,34
1,select_coverage_CBA_M1,,899,271,4,7.0,169.0,169.0,169,47,34
2,select_coverage,1.0,899,271,22,61.0,0.0,0.0,0,0,34
2,select_coverage,2.0,899,271,70,244.0,0.0,0.0,0,0,34
2,select_coverage,3.0,899,271,125,417.0,0.0,0.0,0,0,34
2,select_coverage,4.0,899,271,147,480.0,0.0,0.0,0,0,34
2,select_coverage_CBA_M1,,899,271,4,7.0,169.0,169.0,169,47,34
1,select_coverage,1.0,914,250,22,61.0,0.0,0.0,0,0,42
1,select_coverage,2.0,914,250,74,256.0,0.0,0.0,0,0,42
1,select_coverage,3.0,914,250,123,411.0,0.0,0.0,0,0,42
1,select_coverage,4.0,914,250,136,444.0,0.0,0.0,0,0,42
1,select_coverage_CBA_M1,,914,250,4,7.0,172.0,172.0,172,44,42
2,select_coverage,1.0,914,250,22,61.0,0.0,0.0,0,0,42
2,select_coverage,2.0,914,250,74,256.0,0.0,0.0,0,0,42
2,select_coverage,3.0,914,250,123,411.0,0.0,0.0,0,0,42
2,select_coverage,4.0,914,250,136,444.0,0.0,0.0,0,0,42
2,select_coverage_CBA_M1,,914,250,4,7.0,172.0,172.0,172,44,42
