seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test,acc_test_maj,bacc_test_maj,f1_test_maj,mcc_test_maj,erros_test_maj,nclients
5,2,select_coverage_CBA_M1,,exact,list,1,52,1.0,1.0,1.0,1.0,0,0.4022988505747126,0.5,0.2868852459016393,0.0,52.0,2
14,1,select_coverage,1.0,DAC,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,1.0,exact,majority,1,2,0.942528735632184,0.9404761904761904,0.9420386409060626,0.8904252595569956,5,0.9195402298850576,0.9182539682539684,0.9191557148546396,0.8405199879978169,7.0,2
14,1,select_coverage,1.0,exact,cmar,1,2,1.0,1.0,1.0,1.0,0,0.9770114942528736,0.977777777777778,0.9770084566596194,0.9550503715099072,2.0,2
14,1,select_coverage,1.0,exact,top_k_avg,1,2,1.0,1.0,1.0,1.0,0,0.9770114942528736,0.977777777777778,0.9770084566596194,0.9550503715099072,2.0,2
14,1,select_coverage,1.0,exact,list,1,2,1.0,1.0,1.0,1.0,0,0.9770114942528736,0.977777777777778,0.9770084566596194,0.9550503715099072,2.0,2
14,1,select_coverage,2.0,DAC,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,2.0,exact,majority,1,0,0.8045977011494253,0.7976190476190477,0.7936950760217604,0.6572881025620236,17,,,,,,2
14,1,select_coverage,2.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,2.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,3.0,DAC,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,3.0,exact,majority,1,0,0.8275862068965517,0.8214285714285714,0.8198757763975155,0.6943650748294137,15,,,,,,2
14,1,select_coverage,3.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,3.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,4.0,DAC,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,4.0,exact,majority,1,0,0.7931034482758621,0.7857142857142857,0.7803030303030303,0.6388765649999398,18,,,,,,2
14,1,select_coverage,4.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,4.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,1,select_coverage_CBA_M1,,DAC,list,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
14,1,select_coverage_CBA_M1,,exact,majority,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
14,1,select_coverage_CBA_M1,,exact,cmar,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
14,1,select_coverage_CBA_M1,,exact,top_k_avg,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
14,1,select_coverage_CBA_M1,,exact,list,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
14,2,select_coverage,1.0,exact,majority,1,2,0.942528735632184,0.9404761904761904,0.9420386409060626,0.8904252595569956,5,0.9195402298850576,0.9182539682539684,0.9191557148546396,0.8405199879978169,7.0,2
14,2,select_coverage,1.0,exact,cmar,1,2,1.0,1.0,1.0,1.0,0,0.9770114942528736,0.977777777777778,0.9770084566596194,0.9550503715099072,2.0,2
14,2,select_coverage,1.0,exact,top_k_avg,1,2,1.0,1.0,1.0,1.0,0,0.9770114942528736,0.977777777777778,0.9770084566596194,0.9550503715099072,2.0,2
14,2,select_coverage,1.0,exact,list,1,2,1.0,1.0,1.0,1.0,0,0.9770114942528736,0.977777777777778,0.9770084566596194,0.9550503715099072,2.0,2
14,2,select_coverage,2.0,exact,majority,1,0,0.8045977011494253,0.7976190476190477,0.7936950760217604,0.6572881025620236,17,,,,,,2
14,2,select_coverage,2.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage,2.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage,3.0,exact,majority,1,0,0.8275862068965517,0.8214285714285714,0.8198757763975155,0.6943650748294137,15,,,,,,2
14,2,select_coverage,3.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage,3.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage,4.0,exact,majority,1,0,0.7931034482758621,0.7857142857142857,0.7803030303030303,0.6388765649999398,18,,,,,,2
14,2,select_coverage,4.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage,4.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
14,2,select_coverage_CBA_M1,,exact,majority,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
14,2,select_coverage_CBA_M1,,exact,cmar,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
14,2,select_coverage_CBA_M1,,exact,top_k_avg,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
14,2,select_coverage_CBA_M1,,exact,list,1,45,1.0,1.0,1.0,1.0,0,0.4827586206896552,0.5,0.3255813953488372,0.0,45.0,2
17,1,select_coverage,1.0,DAC,list,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,1.0,exact,majority,1,0,0.9655172413793104,0.9615384615384616,0.9648484848484848,0.9320827648567408,3,,,,,,2
17,1,select_coverage,1.0,exact,cmar,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
17,1,select_coverage,1.0,exact,top_k_avg,1,0,1.0,1.0,1.0,1.0,0,,,,,,2
