seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test
5,1,select_coverage,1.0,DAC,list,win,6,0.6372853759621078,0.34866362956946323,0.31942079025976505,0.05631802326422119,4901
5,1,select_coverage,1.0,exact,list,win,18,0.7910746003552398,0.5391785661041009,0.5454935122724475,0.5400036228333228,2823
5,1,select_coverage,2.0,DAC,list,win,5,0.6363232682060391,0.3454740020785168,0.31363811441906186,0.047462099113642534,4914
5,1,select_coverage,2.0,exact,list,win,13,0.7901865008880995,0.5386989344620067,0.5451598036504007,0.537814075955545,2835
5,1,select_coverage,3.0,DAC,list,win,4,0.6362492599171107,0.34524837946638004,0.3132517699140879,0.04664854193656331,4915
5,1,select_coverage,3.0,exact,list,win,9,0.7895204262877442,0.5382390685995301,0.5452172042087328,0.5361743385866371,2844
5,1,select_coverage,4.0,DAC,list,win,4,0.6361752516281823,0.3455244858560415,0.31374236169268366,0.047246151062479744,4916
5,1,select_coverage,4.0,exact,list,win,9,0.7893724097098875,0.5386359083238584,0.5455841857133431,0.5358281134614513,2846
5,1,select_coverage_CBA_M1,,DAC,list,win,11,0.6373593842510361,0.3484801801095716,0.3189265998272229,0.05596165224648891,4900
5,1,select_coverage_CBA_M1,,exact,list,win,21,0.7911486086441681,0.5387741929478551,0.5446803020652645,0.5401578812575254,2822
14,1,select_coverage,1.0,DAC,list,win,1,0.6661486086441681,0.3482538180242763,0.2981553081737261,0.11707099667566583,4511
14,1,select_coverage,1.0,exact,list,win,5,0.7876702190645353,0.5339584164381127,0.5388364283369028,0.531349909753707,2869
14,1,select_coverage,2.0,DAC,list,win,0,0.6635583185316756,0.3432091930391498,0.28717809652035936,0.0948238338730112,4546
14,1,select_coverage,2.0,exact,list,win,1,0.7887803433984606,0.5359387290929436,0.5421347506764717,0.5341807259193819,2854
14,1,select_coverage,3.0,DAC,list,win,0,0.6626702190645353,0.3413469721259758,0.2830476176409758,0.08630376317320057,4558
14,1,select_coverage,3.0,exact,list,win,0,0.7885583185316756,0.5358263063835563,0.5420041694553119,0.5336234513676966,2857
14,1,select_coverage,4.0,DAC,list,win,0,0.6624481941977501,0.3407328204147903,0.2815441547869039,0.08392599052162449,4561
14,1,select_coverage,4.0,exact,list,win,0,0.787818235642392,0.5345379284289705,0.5400154003628573,0.531731413946457,2867
14,1,select_coverage_CBA_M1,,DAC,list,win,4,0.6662966252220248,0.3483287664972012,0.2981829662523587,0.11789629846932177,4509
14,1,select_coverage_CBA_M1,,exact,list,win,7,0.7877442273534636,0.5338376831034458,0.5384266965535796,0.5314988136943325,2868
17,1,select_coverage,1.0,DAC,list,win,42,0.5678656009473061,0.34474542612963927,0.3295954134362093,0.02613993844801587,5839
17,1,select_coverage,1.0,exact,list,win,72,0.7897424511545293,0.5471657630340032,0.5576900393180386,0.5373093063031831,2841
17,1,select_coverage,2.0,DAC,list,win,27,0.5732682060390764,0.3419620263716167,0.32637240418075397,0.020484566264448455,5766
17,1,select_coverage,2.0,exact,list,win,38,0.7893724097098875,0.5457426720872014,0.5540294931651065,0.536388523345496,2846
17,1,select_coverage,3.0,DAC,list,win,22,0.5722320899940794,0.34046386986209126,0.324539375519825,0.017048405394868515,5780
17,1,select_coverage,3.0,exact,list,win,30,0.7898164594434577,0.5464692465077742,0.554509080552673,0.5374611296233749,2840
17,1,select_coverage,4.0,DAC,list,win,19,0.5717140319715808,0.3395416136339267,0.3232839803199072,0.014890878008001124,5787
17,1,select_coverage,4.0,exact,list,win,27,0.7900384843102427,0.5459787797371892,0.5527585860139502,0.5379837291488615,2837
17,1,select_coverage_CBA_M1,,DAC,list,win,54,0.5682356423919479,0.34480736506150184,0.32953911686490533,0.025934055800759855,5834
17,1,select_coverage_CBA_M1,,exact,list,win,96,0.7841918294849023,0.5268079707143797,0.5271047840942668,0.522312505997992,2916
19,1,select_coverage,1.0,DAC,list,win,16,0.6226317347542925,0.3756619497905662,0.36365649050300003,0.11103664785244449,5099
19,1,select_coverage,1.0,exact,list,win,29,0.7939609236234458,0.5457285710177467,0.5527727039987476,0.5474094669536,2784
19,1,select_coverage,2.0,DAC,list,win,14,0.6207075192421552,0.37192527561651817,0.3590152953475019,0.10168473299988715,5125
19,1,select_coverage,2.0,exact,list,win,22,0.7948490230905861,0.5459217283221273,0.5520495506412715,0.5495178345965834,2772
19,1,select_coverage,3.0,DAC,list,win,3,0.6199674363528715,0.37007528705104425,0.3566552747467006,0.0969582773221349,5135
19,1,select_coverage,3.0,exact,list,win,8,0.7945529899348727,0.5449536872322206,0.5509364532238966,0.548767256171434,2776
19,1,select_coverage,4.0,DAC,list,win,3,0.6190793368857312,0.36802208324606117,0.3536664304801729,0.09251236922480251,5147
19,1,select_coverage,4.0,exact,list,win,7,0.7934428656009473,0.5431315821485191,0.548218517229422,0.5459862976940824,2791
19,1,select_coverage_CBA_M1,,DAC,list,win,22,0.6228537596210776,0.3780948691332702,0.3662660280527425,0.11656368892758366,5096
19,1,select_coverage_CBA_M1,,exact,list,win,46,0.7938869153345175,0.542595330516192,0.5459836784859634,0.547003371893201,2785
29,1,select_coverage,1.0,DAC,list,win,32,0.6589698046181173,0.3684178125818953,0.34767773478188907,0.13491396267207856,4608
29,1,select_coverage,1.0,exact,list,win,64,0.7910005920663115,0.5418136134800283,0.5489181627293921,0.5399581568417167,2824
29,1,select_coverage,2.0,DAC,list,win,18,0.6559354647720544,0.3636771774682026,0.33999818595204406,0.12135459626230449,4649
29,1,select_coverage,2.0,exact,list,win,36,0.789890467732386,0.5411232331665076,0.5472050183620477,0.5372012414448412,2839
29,1,select_coverage,3.0,DAC,list,win,12,0.6553433984606276,0.36271461248744075,0.3384893407422305,0.1179699265585206,4657
29,1,select_coverage,3.0,exact,list,win,25,0.7899644760213144,0.5408115169400315,0.5463268082670778,0.5373902951709668,2838
29,1,select_coverage,4.0,DAC,list,win,11,0.6540852575488455,0.3609814355342133,0.3355978960498153,0.11181060769606718,4674
29,1,select_coverage,4.0,exact,list,win,15,0.7887803433984606,0.53829200104694,0.5429382549271372,0.5343486865377425,2854
29,1,select_coverage_CBA_M1,,DAC,list,win,45,0.6591918294849023,0.3676465405058662,0.3462154279608423,0.1345260147060126,4605
29,1,select_coverage_CBA_M1,,exact,list,win,87,0.7907785671995263,0.5387964073973578,0.5427699569194263,0.5391655936821158,2827
31,1,select_coverage,1.0,DAC,list,win,5,0.6659265837773831,0.35573855001549104,0.316405813627414,0.12295390903083833,4514
31,1,select_coverage,1.0,exact,list,win,12,0.7958851391355832,0.5444309480770042,0.5503395725136403,0.5520705981076406,2758
31,1,select_coverage,2.0,DAC,list,win,4,0.6671847246891652,0.356247345268768,0.3166465536617643,0.1287435332896869,4497
31,1,select_coverage,2.0,exact,list,win,8,0.7981793960923623,0.5479430868452012,0.5528415132976567,0.5577282474614723,2727
31,1,select_coverage,3.0,DAC,list,win,3,0.6655565423327413,0.35353859379371655,0.3115648796247357,0.11795341707750902,4519
31,1,select_coverage,3.0,exact,list,win,4,0.7986234458259325,0.5481023816226163,0.5524750142297238,0.5588125370796919,2721
31,1,select_coverage,4.0,DAC,list,win,2,0.6652605091770278,0.3526660441497145,0.3097495405304613,0.11566647778644551,4523
31,1,select_coverage,4.0,exact,list,win,4,0.7978093546477205,0.5476274488963048,0.5519027093829124,0.5567720282015617,2732
31,1,select_coverage_CBA_M1,,DAC,list,win,9,0.6660005920663115,0.3555551005555993,0.31592506677124343,0.12295519936342034,4513
31,1,select_coverage_CBA_M1,,exact,list,win,14,0.7952930728241563,0.5422055570433425,0.5460595754142321,0.5505394488663425,2766
34,1,select_coverage,1.0,DAC,list,win,4,0.6452782711663706,0.35574106273113865,0.3297214681274677,0.08016426767084586,4793
34,1,select_coverage,1.0,exact,list,win,10,0.7922587329780936,0.5373136222637278,0.54955927080144,0.5438965185428141,2807
34,1,select_coverage,2.0,DAC,list,win,4,0.642687981053878,0.34996811601559025,0.31963456307195787,0.06195900938433719,4828
34,1,select_coverage,2.0,exact,list,win,8,0.7955891059798698,0.5439715438941032,0.5580101602208928,0.5521239566196987,2762
34,1,select_coverage,3.0,DAC,list,win,1,0.6413558318531676,0.34878901624133346,0.31801731266401545,0.05818633572899506,4846
34,1,select_coverage,3.0,exact,list,win,7,0.7965512137359384,0.546695052220066,0.5616987562650425,0.5544585191202652,2749
34,1,select_coverage,4.0,DAC,list,win,0,0.6416518650088809,0.346642688326142,0.3133650312708615,0.053883728150253746,4842
34,1,select_coverage,4.0,exact,list,win,3,0.7969952634695086,0.5481499483710607,0.5640405170070514,0.5555810204570644,2743
34,1,select_coverage_CBA_M1,,DAC,list,win,9,0.6450562462995856,0.3557868475928807,0.32999979584675043,0.07993630105567658,4796
34,1,select_coverage_CBA_M1,,exact,list,win,17,0.7905565423327413,0.533304570499314,0.5444422967081092,0.5397834922203807,2830
42,1,select_coverage,1.0,DAC,list,win,6,0.6335109532267614,0.3611512848961047,0.3450673243752405,0.08556965216843342,4952
42,1,select_coverage,1.0,exact,list,win,9,0.7899644760213144,0.5289112213711955,0.5385050898121736,0.5389393363877641,2838
42,1,select_coverage,2.0,DAC,list,win,0,0.6318827708703375,0.3542976001239486,0.33383175948924587,0.06622341872429836,4974
42,1,select_coverage,2.0,exact,list,win,3,0.7933688573120189,0.5351947106498701,0.5463349148216763,0.5473088426853258,2792
42,1,select_coverage,3.0,DAC,list,win,0,0.6296625222024866,0.3513189955617426,0.32942893512747057,0.056926376016710585,5004
42,1,select_coverage,3.0,exact,list,win,2,0.7946269982238011,0.5391998406918633,0.5518198955734743,0.5502072248265608,2775
42,1,select_coverage,4.0,DAC,list,win,0,0.6295885139135583,0.3503379449307738,0.32761287710956993,0.054863414804928595,5005
42,1,select_coverage,4.0,exact,list,win,2,0.7949970396684428,0.5408652925911599,0.5538117062120441,0.550967052632873,2770
42,1,select_coverage_CBA_M1,,DAC,list,win,8,0.633214920071048,0.361001387950255,0.3449513725337409,0.08518100460210354,4956
42,1,select_coverage_CBA_M1,,exact,list,win,11,0.7889283599763174,0.5256756160953823,0.5330047251605134,0.5363756245072867,2852
49,1,select_coverage,1.0,DAC,list,win,4,0.6616341030195382,0.36754790570965973,0.34268651517775145,0.13456534104913473,4572
49,1,select_coverage,1.0,exact,list,win,17,0.7887803433984606,0.5298297543009274,0.5335555340710822,0.5344595089082155,2854
49,1,select_coverage,2.0,DAC,list,win,1,0.65748963883955,0.36369329696146985,0.3374833929262811,0.11815414034298541,4628
49,1,select_coverage,2.0,exact,list,win,3,0.7919626998223801,0.5359409392611246,0.5419055626515455,0.5425092603698132,2811
49,1,select_coverage,3.0,DAC,list,win,1,0.6482386027235051,0.36051420440906035,0.3356698366831681,0.09733259314644546,4753
49,1,select_coverage,3.0,exact,list,win,3,0.7932208407341622,0.5382770056943245,0.5451045368756692,0.5456972518668312,2794
49,1,select_coverage,4.0,DAC,list,win,1,0.6474985198342215,0.35894785566516535,0.3332243120094837,0.0916989167224627,4763
49,1,select_coverage,4.0,exact,list,win,2,0.7931468324452339,0.5385559466001207,0.5456792611958633,0.5454836311857636,2795
49,1,select_coverage_CBA_M1,,DAC,list,win,7,0.6619301361752516,0.3674768789591553,0.34223828601671485,0.1347481971048303,4568
49,1,select_coverage_CBA_M1,,exact,list,win,19,0.7884103019538188,0.5285377646368447,0.5310049466374546,0.5334841219298132,2859
63,1,select_coverage,1.0,DAC,list,win,2,0.6373593842510361,0.36761710185153196,0.3504712173019097,0.10610704353944081,4900
63,1,select_coverage,1.0,exact,list,win,4,0.7870781527531083,0.5236013663813711,0.5285424875359238,0.5310353452088667,2877
63,1,select_coverage,2.0,DAC,list,win,1,0.6339550029603316,0.3660158847085748,0.34851503120755667,0.10082154997575309,4946
63,1,select_coverage,2.0,exact,list,win,3,0.7889283599763174,0.5273988922809961,0.5331732591809083,0.5355398507702434,2852
63,1,select_coverage,3.0,DAC,list,win,0,0.6329188869153345,0.3631080326395593,0.3446421398266015,0.09300703363650348,4960
63,1,select_coverage,3.0,exact,list,win,2,0.7899644760213144,0.5297479682552582,0.536111851020887,0.5380340027374789,2838
63,1,select_coverage,4.0,DAC,list,win,0,0.6320307874481942,0.36033501065255874,0.34051408148798784,0.08602683125618177,4972
63,1,select_coverage,4.0,exact,list,win,0,0.7898164594434577,0.5299238842832324,0.5361525463759332,0.5375728041221411,2840
63,1,select_coverage_CBA_M1,,DAC,list,win,3,0.6372853759621078,0.36735870391871545,0.3499667227658587,0.10579960877016296,4901
63,1,select_coverage_CBA_M1,,exact,list,win,5,0.7870781527531083,0.523380442685017,0.5280929794521556,0.5310514000906558,2877
64,1,select_coverage,1.0,DAC,list,win,14,0.6568235642391947,0.35790539497102225,0.3270349319434343,0.10440998860406606,4637
64,1,select_coverage,1.0,exact,list,win,21,0.7983274126702191,0.553180599199501,0.5595893471698355,0.5583070950099525,2725
64,1,select_coverage,2.0,DAC,list,win,13,0.6511249259917111,0.35507976037250494,0.3245039223711885,0.0884040346190857,4714
64,1,select_coverage,2.0,exact,list,win,16,0.7997335701598579,0.5551113223599682,0.5600133306406915,0.5618575873451455,2706
64,1,select_coverage,3.0,DAC,list,win,7,0.6460183540556542,0.3523358304854678,0.321899269505209,0.0751694350887997,4783
64,1,select_coverage,3.0,exact,list,win,13,0.8003996447602132,0.5553858743629053,0.5604014296977857,0.5634525787983763,2697
64,1,select_coverage,4.0,DAC,list,win,6,0.6453522794552989,0.35177763866095174,0.32110398025804454,0.07322068459478928,4792
64,1,select_coverage,4.0,exact,list,win,11,0.8001036116044997,0.5558688077015729,0.5615266617242833,0.5627769740264066,2701
64,1,select_coverage_CBA_M1,,DAC,list,win,25,0.6568975725281232,0.3570591744220682,0.32506774497873536,0.10349625943207812,4636
64,1,select_coverage_CBA_M1,,exact,list,win,27,0.7975133214920072,0.5494901369899173,0.5535864850012995,0.5561398531631788,2736
65,1,select_coverage,1.0,DAC,list,win,29,0.6810242747187685,0.4072571188524992,0.4048746023030419,0.22911079067363585,4310
65,1,select_coverage,1.0,exact,list,win,54,0.7975133214920072,0.5494015534492201,0.5617650771123942,0.556445660042182,2736
65,1,select_coverage,2.0,DAC,list,win,21,0.6759177027827117,0.39530968678129136,0.3876077625784784,0.20551676163424007,4379
65,1,select_coverage,2.0,exact,list,win,37,0.7986974541148608,0.5511927476118897,0.5631466364577489,0.5593535411715178,2720
65,1,select_coverage,3.0,DAC,list,win,15,0.6732534043812907,0.38757366868731835,0.37491442109546735,0.1913026384943656,4415
65,1,select_coverage,3.0,exact,list,win,26,0.7979573712255773,0.5513610131181478,0.5649690762352244,0.5576253579060064,2730
65,1,select_coverage,4.0,DAC,list,win,14,0.6722172883362937,0.38328039283108833,0.368070624494798,0.18350883521660935,4429
65,1,select_coverage,4.0,exact,list,win,23,0.7976613380698638,0.5527875228513217,0.5670891150087592,0.5569002517157193,2734
65,1,select_coverage_CBA_M1,,DAC,list,win,53,0.6802101835405565,0.40804501217908756,0.4066584133630616,0.2285611382454294,4321
65,1,select_coverage_CBA_M1,,exact,list,win,75,0.7975873297809355,0.5488090319173,0.5611233904929955,0.5566517991806549,2735
68,1,select_coverage,1.0,DAC,list,win,23,0.6545293072824157,0.35120040284863135,0.3144843294479735,0.0791186938308499,4668
68,1,select_coverage,1.0,exact,list,win,33,0.7981793960923623,0.5518270564498052,0.5603767053366645,0.5578833096181869,2727
68,1,select_coverage,2.0,DAC,list,win,15,0.6466844286560095,0.348512397092654,0.31413083826468824,0.059869996780101714,4774
68,1,select_coverage,2.0,exact,list,win,26,0.8001776198934281,0.5551322511791974,0.563777842416383,0.5628162375026674,2700
