1,2,3,4,5,6,7,8,9,10
0.9484375,0.9296875,0.9328125,0.9328125,0.9328125,0.93125,0.9328125,0.9328125,0.9359375,0.928125
0.9546875,0.9515625,0.94375,0.946875,0.94375,0.95,0.940625,0.946875,0.9453125,0.9421875
0.9484375,0.921875,0.9265625,0.9328125,0.9421875,0.9375,0.9328125,0.9296875,0.9328125,0.93125
0.95625,0.9421875,0.9171875,0.9421875,0.9390625,0.9421875,0.940625,0.9375,0.928125,0.9390625
0.959375,0.9484375,0.9484375,0.94375,0.9453125,0.9421875,0.940625,0.940625,0.9453125,0.94375
0.95,0.940625,0.9359375,0.93125,0.940625,0.9359375,0.940625,0.9375,0.934375,0.9453125
0.9578125,0.9421875,0.9515625,0.95,0.9390625,0.9484375,0.9375,0.9484375,0.95,0.940625
0.946875,0.925,0.9328125,0.934375,0.928125,0.9296875,0.925,0.93125,0.9203125,0.9234375
0.953125,0.9484375,0.9453125,0.95,0.946875,0.9421875,0.946875,0.946875,0.946875,0.946875
0.971875,0.946875,0.9546875,0.9484375,0.940625,0.9421875,0.9359375,0.95,0.9390625,0.9375
0.965625,0.9421875,0.9515625,0.9453125,0.953125,0.946875,0.9484375,0.946875,0.953125,0.946875
0.9515625,0.91875,0.9328125,0.9265625,0.9296875,0.9234375,0.91875,0.915625,0.921875,0.9203125
0.953125,0.9171875,0.9328125,0.9109375,0.9203125,0.9234375,0.9203125,0.9203125,0.91875,0.9203125
0.953125,0.9421875,0.9421875,0.934375,0.9296875,0.9265625,0.9296875,0.921875,0.9296875,0.925
0.9765625,0.9625,0.9640625,0.9515625,0.95625,0.9609375,0.953125,0.9609375,0.9546875,0.9546875
0.940625,0.9265625,0.93125,0.928125,0.921875,0.9265625,0.925,0.925,0.9234375,0.9234375
0.9484375,0.9421875,0.934375,0.9421875,0.9234375,0.93125,0.934375,0.9375,0.921875,0.93125
0.9484375,0.940625,0.9296875,0.9375,0.9390625,0.9328125,0.9328125,0.9375,0.9328125,0.9359375
0.9625,0.953125,0.9515625,0.95,0.9515625,0.953125,0.9515625,0.946875,0.9453125,0.9484375
0.9625,0.9421875,0.9265625,0.9359375,0.9328125,0.94375,0.9359375,0.9453125,0.9328125,0.9375
