ranking,selection,param,mined,after_pruning,classifier,total_items,no_cov_ant,no_cov_rule,no_matches_train,no_matches_test,seed
1,select_coverage,1.0,674464,674464,4375,133727,11620,15164,11620,2823,5
1,select_coverage,2.0,674464,674464,8528,260615,11209,15136,11209,2693,5
1,select_coverage,3.0,674464,674464,12240,373244,10952,15127,10952,2589,5
1,select_coverage,4.0,674464,674464,15820,481683,10794,15121,10794,2541,5
1,select_coverage_CBA_M1,,674464,674464,2768,79947,18352,19301,18352,4390,5
2,select_coverage,1.0,674464,674464,4375,133727,11620,15164,11620,2823,5
2,select_coverage,2.0,674464,674464,8528,260615,11209,15136,11209,2693,5
2,select_coverage,3.0,674464,674464,12240,373244,10952,15127,10952,2589,5
2,select_coverage,4.0,674464,674464,15820,481683,10794,15121,10794,2541,5
2,select_coverage_CBA_M1,,674464,674464,2768,79947,18352,19301,18352,4390,5
1,select_coverage,1.0,694038,694038,4411,134965,11894,15447,11894,2782,14
1,select_coverage,2.0,694038,694038,8628,264037,11479,15413,11479,2649,14
1,select_coverage,3.0,694038,694038,12350,377311,11258,15398,11258,2569,14
1,select_coverage,4.0,694038,694038,15973,487270,11087,15392,11087,2522,14
1,select_coverage_CBA_M1,,694038,694038,2834,82080,18565,19514,18565,4308,14
2,select_coverage,1.0,694038,694038,4411,134965,11894,15447,11894,2782,14
2,select_coverage,2.0,694038,694038,8628,264037,11479,15413,11479,2649,14
2,select_coverage,3.0,694038,694038,12350,377311,11258,15398,11258,2569,14
2,select_coverage,4.0,694038,694038,15973,487270,11087,15392,11087,2522,14
2,select_coverage_CBA_M1,,694038,694038,2834,82080,18565,19514,18565,4308,14
1,select_coverage,1.0,663422,663422,4447,135698,11631,15214,11631,2716,17
1,select_coverage,2.0,663422,663422,8650,263924,11261,15181,11261,2577,17
1,select_coverage,3.0,663422,663422,12376,377038,11017,15177,11017,2494,17
1,select_coverage,4.0,663422,663422,15974,486095,10850,15175,10850,2440,17
1,select_coverage_CBA_M1,,663422,663422,3008,87307,17876,19009,17876,4072,17
2,select_coverage,1.0,663422,663422,4447,135698,11631,15214,11631,2716,17
2,select_coverage,2.0,663422,663422,8650,263924,11261,15181,11261,2577,17
2,select_coverage,3.0,663422,663422,12376,377038,11017,15177,11017,2494,17
2,select_coverage,4.0,663422,663422,15974,486095,10850,15175,10850,2440,17
2,select_coverage_CBA_M1,,663422,663422,3008,87307,17876,19009,17876,4072,17
1,select_coverage,1.0,695077,695077,4434,135632,11748,15352,11748,2741,19
1,select_coverage,2.0,695077,695077,8635,263944,11339,15323,11339,2595,19
1,select_coverage,3.0,695077,695077,12348,376712,11103,15310,11103,2520,19
1,select_coverage,4.0,695077,695077,15975,486529,10935,15299,10935,2468,19
1,select_coverage_CBA_M1,,695077,695077,2936,85042,18038,19163,18038,4119,19
2,select_coverage,1.0,695077,695077,4434,135632,11748,15352,11748,2741,19
2,select_coverage,2.0,695077,695077,8635,263944,11339,15323,11339,2595,19
2,select_coverage,3.0,695077,695077,12348,376712,11103,15310,11103,2520,19
2,select_coverage,4.0,695077,695077,15975,486529,10935,15299,10935,2468,19
2,select_coverage_CBA_M1,,695077,695077,2936,85042,18038,19163,18038,4119,19
1,select_coverage,1.0,754292,754292,4306,131582,12268,15762,12268,2880,29
1,select_coverage,2.0,754292,754292,8408,257006,11874,15739,11874,2744,29
1,select_coverage,3.0,754292,754292,12017,366637,11607,15720,11607,2662,29
1,select_coverage,4.0,754292,754292,15546,473487,11429,15717,11429,2605,29
1,select_coverage_CBA_M1,,754292,754292,2893,83901,18413,19473,18413,4230,29
2,select_coverage,1.0,754292,754292,4306,131582,12268,15762,12268,2880,29
2,select_coverage,2.0,754292,754292,8408,257006,11874,15739,11874,2744,29
2,select_coverage,3.0,754292,754292,12017,366637,11607,15720,11607,2662,29
2,select_coverage,4.0,754292,754292,15546,473487,11429,15717,11429,2605,29
2,select_coverage_CBA_M1,,754292,754292,2893,83901,18413,19473,18413,4230,29
1,select_coverage,1.0,701657,701657,4396,134527,11916,15514,11916,2825,31
1,select_coverage,2.0,701657,701657,8595,263074,11505,15471,11505,2679,31
1,select_coverage,3.0,701657,701657,12287,375658,11238,15459,11238,2591,31
1,select_coverage,4.0,701657,701657,15963,487549,11068,15445,11068,2522,31
1,select_coverage_CBA_M1,,701657,701657,2948,85675,18091,19241,18091,4248,31
2,select_coverage,1.0,701657,701657,4396,134527,11916,15514,11916,2825,31
2,select_coverage,2.0,701657,701657,8595,263074,11505,15471,11505,2679,31
2,select_coverage,3.0,701657,701657,12287,375658,11238,15459,11238,2591,31
2,select_coverage,4.0,701657,701657,15963,487549,11068,15445,11068,2522,31
2,select_coverage_CBA_M1,,701657,701657,2948,85675,18091,19241,18091,4248,31
1,select_coverage,1.0,703834,703834,4412,134967,11617,15313,11617,2822,34
1,select_coverage,2.0,703834,703834,8636,264133,11211,15285,11211,2653,34
1,select_coverage,3.0,703834,703834,12346,376857,10958,15269,10958,2562,34
1,select_coverage,4.0,703834,703834,15965,486700,10776,15260,10776,2509,34
1,select_coverage_CBA_M1,,703834,703834,2915,84370,17940,19087,17940,4276,34
2,select_coverage,1.0,703834,703834,4412,134967,11617,15313,11617,2822,34
2,select_coverage,2.0,703834,703834,8636,264133,11211,15285,11211,2653,34
2,select_coverage,3.0,703834,703834,12346,376857,10958,15269,10958,2562,34
2,select_coverage,4.0,703834,703834,15965,486700,10776,15260,10776,2509,34
2,select_coverage_CBA_M1,,703834,703834,2915,84370,17940,19087,17940,4276,34
1,select_coverage,1.0,672361,672361,4458,136213,11469,14986,11469,2750,42
1,select_coverage,2.0,672361,672361,8723,266427,11074,14960,11074,2597,42
1,select_coverage,3.0,672361,672361,12476,380562,10842,14944,10842,2506,42
1,select_coverage,4.0,672361,672361,16141,491708,10669,14937,10669,2452,42
1,select_coverage_CBA_M1,,672361,672361,2987,86607,17760,18874,17760,4241,42
2,select_coverage,1.0,672361,672361,4458,136213,11469,14986,11469,2750,42
2,select_coverage,2.0,672361,672361,8723,266427,11074,14960,11074,2597,42
2,select_coverage,3.0,672361,672361,12476,380562,10842,14944,10842,2506,42
2,select_coverage,4.0,672361,672361,16141,491708,10669,14937,10669,2452,42
2,select_coverage_CBA_M1,,672361,672361,2987,86607,17760,18874,17760,4241,42
1,select_coverage,1.0,638839,638839,4325,132343,11895,15531,11895,2793,49
1,select_coverage,2.0,638839,638839,8425,257608,11515,15502,11515,2672,49
1,select_coverage,3.0,638839,638839,12017,366861,11276,15482,11276,2584,49
1,select_coverage,4.0,638839,638839,15587,475331,11101,15471,11101,2533,49
1,select_coverage_CBA_M1,,638839,638839,3235,95215,16515,18056,16515,3843,49
2,select_coverage,1.0,638839,638839,4325,132343,11895,15531,11895,2793,49
2,select_coverage,2.0,638839,638839,8425,257608,11515,15502,11515,2672,49
2,select_coverage,3.0,638839,638839,12017,366861,11276,15482,11276,2584,49
2,select_coverage,4.0,638839,638839,15587,475331,11101,15471,11101,2533,49
2,select_coverage_CBA_M1,,638839,638839,3235,95215,16515,18056,16515,3843,49
1,select_coverage,1.0,635631,635631,4406,134853,11811,15438,11811,2754,63
1,select_coverage,2.0,635631,635631,8615,263594,11450,15397,11450,2624,63
1,select_coverage,3.0,635631,635631,12369,377971,11184,15387,11184,2553,63
1,select_coverage,4.0,635631,635631,16050,489883,11018,15380,11018,2504,63
1,select_coverage_CBA_M1,,635631,635631,2963,86161,18076,19208,18076,4162,63
2,select_coverage,1.0,635631,635631,4406,134853,11811,15438,11811,2754,63
2,select_coverage,2.0,635631,635631,8615,263594,11450,15397,11450,2624,63
2,select_coverage,3.0,635631,635631,12369,377971,11184,15387,11184,2553,63
2,select_coverage,4.0,635631,635631,16050,489883,11018,15380,11018,2504,63
2,select_coverage_CBA_M1,,635631,635631,2963,86161,18076,19208,18076,4162,63
1,select_coverage,1.0,714003,714003,4451,135884,11817,15360,11817,2712,64
1,select_coverage,2.0,714003,714003,8654,264156,11406,15328,11406,2558,64
1,select_coverage,3.0,714003,714003,12368,376885,11170,15313,11170,2480,64
1,select_coverage,4.0,714003,714003,16045,488517,11004,15307,11004,2440,64
1,select_coverage_CBA_M1,,714003,714003,3032,87982,17939,19061,17939,4060,64
2,select_coverage,1.0,714003,714003,4451,135884,11817,15360,11817,2712,64
2,select_coverage,2.0,714003,714003,8654,264156,11406,15328,11406,2558,64
2,select_coverage,3.0,714003,714003,12368,376885,11170,15313,11170,2480,64
2,select_coverage,4.0,714003,714003,16045,488517,11004,15307,11004,2440,64
2,select_coverage_CBA_M1,,714003,714003,3032,87982,17939,19061,17939,4060,64
1,select_coverage,1.0,719917,719917,4394,134319,11833,15474,11833,2701,65
1,select_coverage,2.0,719917,719917,8573,261891,11394,15446,11394,2557,65
1,select_coverage,3.0,719917,719917,12272,374219,11122,15437,11122,2493,65
1,select_coverage,4.0,719917,719917,15865,483143,10955,15426,10955,2448,65
1,select_coverage_CBA_M1,,719917,719917,2868,82883,18206,19301,18206,4178,65
2,select_coverage,1.0,719917,719917,4394,134319,11833,15474,11833,2701,65
2,select_coverage,2.0,719917,719917,8573,261891,11394,15446,11394,2557,65
2,select_coverage,3.0,719917,719917,12272,374219,11122,15437,11122,2493,65
2,select_coverage,4.0,719917,719917,15865,483143,10955,15426,10955,2448,65
2,select_coverage_CBA_M1,,719917,719917,2868,82883,18206,19301,18206,4178,65
1,select_coverage,1.0,729923,729923,4434,135420,11673,15301,11673,2787,68
1,select_coverage,2.0,729923,729923,8655,264352,11296,15283,11296,2630,68
1,select_coverage,3.0,729923,729923,12439,379435,11044,15269,11044,2528,68
1,select_coverage,4.0,729923,729923,16085,490047,10867,15254,10867,2477,68
1,select_coverage_CBA_M1,,729923,729923,2994,86826,17938,19108,17938,4183,68
2,select_coverage,1.0,729923,729923,4434,135420,11673,15301,11673,2787,68
2,select_coverage,2.0,729923,729923,8655,264352,11296,15283,11296,2630,68
2,select_coverage,3.0,729923,729923,12438,379404,11044,15269,11044,2528,68
2,select_coverage,4.0,729923,729923,16085,490047,10867,15254,10867,2477,68
2,select_coverage_CBA_M1,,729923,729923,2994,86826,17938,19108,17938,4183,68
1,select_coverage,1.0,671545,671545,4349,132784,11883,15435,11883,2741,74
1,select_coverage,2.0,671545,671545,8525,260324,11472,15388,11472,2598,74
1,select_coverage,3.0,671545,671545,12219,372530,11208,15378,11208,2506,74
1,select_coverage,4.0,671545,671545,15817,481549,11000,15366,11000,2454,74
1,select_coverage_CBA_M1,,671545,671545,2735,78862,18780,19681,18780,4286,74
2,select_coverage,1.0,671545,671545,4349,132784,11883,15435,11883,2741,74
2,select_coverage,2.0,671545,671545,8525,260324,11472,15388,11472,2598,74
2,select_coverage,3.0,671545,671545,12219,372530,11208,15378,11208,2506,74
2,select_coverage,4.0,671545,671545,15817,481549,11000,15366,11000,2454,74
2,select_coverage_CBA_M1,,671545,671545,2735,78862,18780,19681,18780,4286,74
1,select_coverage,1.0,678906,678906,4358,133176,12055,15575,12055,2927,76
1,select_coverage,2.0,678906,678906,8384,255769,11681,15543,11681,2800,76
1,select_coverage,3.0,678906,678906,12009,365890,11421,15534,11421,2722,76
1,select_coverage,4.0,678906,678906,15557,473303,11272,15530,11272,2683,76
1,select_coverage_CBA_M1,,678906,678906,2916,84619,18083,19217,18083,4271,76
2,select_coverage,1.0,678906,678906,4358,133176,12055,15575,12055,2927,76
2,select_coverage,2.0,678906,678906,8384,255769,11681,15543,11681,2800,76
2,select_coverage,3.0,678906,678906,12009,365890,11421,15534,11421,2722,76
2,select_coverage,4.0,678906,678906,15557,473303,11272,15530,11272,2683,76
2,select_coverage_CBA_M1,,678906,678906,2916,84619,18083,19217,18083,4271,76
1,select_coverage,1.0,678334,678334,4372,133358,11694,15214,11694,2716,100
1,select_coverage,2.0,678334,678334,8516,259952,11334,15182,11334,2570,100
1,select_coverage,3.0,678334,678334,12190,371465,11062,15166,11062,2488,100
1,select_coverage,4.0,678334,678334,15764,479626,10860,15164,10860,2423,100
1,select_coverage_CBA_M1,,678334,678334,2868,82961,18131,19155,18131,4227,100
2,select_coverage,1.0,678334,678334,4372,133358,11694,15214,11694,2716,100
2,select_coverage,2.0,678334,678334,8516,259952,11334,15182,11334,2570,100
2,select_coverage,3.0,678334,678334,12190,371465,11062,15166,11062,2488,100
2,select_coverage,4.0,678334,678334,15764,479626,10860,15164,10860,2423,100
2,select_coverage_CBA_M1,,678334,678334,2868,82961,18131,19155,18131,4227,100
1,select_coverage,1.0,728072,728072,4413,135095,11536,15088,11536,2649,114
1,select_coverage,2.0,728072,728072,8592,262948,11118,15053,11118,2475,114
1,select_coverage,3.0,728072,728072,12326,376603,10896,15038,10896,2395,114
1,select_coverage,4.0,728072,728072,15915,485671,10748,15031,10748,2335,114
1,select_coverage_CBA_M1,,728072,728072,2763,79798,18496,19340,18496,4250,114
2,select_coverage,1.0,728072,728072,4413,135095,11536,15088,11536,2649,114
2,select_coverage,2.0,728072,728072,8592,262948,11118,15053,11118,2475,114
2,select_coverage,3.0,728072,728072,12326,376603,10896,15038,10896,2395,114
2,select_coverage,4.0,728072,728072,15915,485671,10748,15031,10748,2335,114
2,select_coverage_CBA_M1,,728072,728072,2763,79798,18496,19340,18496,4250,114
1,select_coverage,1.0,686142,686142,4435,135569,11809,15433,11809,2706,133
1,select_coverage,2.0,686142,686142,8657,264740,11408,15402,11408,2572,133
1,select_coverage,3.0,686142,686142,12439,379884,11100,15381,11100,2477,133
1,select_coverage,4.0,686142,686142,16116,491642,10943,15369,10943,2423,133
1,select_coverage_CBA_M1,,686142,686142,2889,83708,18452,19433,18452,4345,133
2,select_coverage,1.0,686142,686142,4435,135569,11809,15433,11809,2706,133
2,select_coverage,2.0,686142,686142,8657,264740,11408,15402,11408,2572,133
2,select_coverage,3.0,686142,686142,12439,379884,11100,15381,11100,2477,133
2,select_coverage,4.0,686142,686142,16116,491642,10943,15369,10943,2423,133
2,select_coverage_CBA_M1,,686142,686142,2889,83708,18452,19433,18452,4345,133
1,select_coverage,1.0,732749,732749,4469,136884,11533,15124,11533,2706,138
1,select_coverage,2.0,732749,732749,8743,267827,11093,15081,11093,2541,138
1,select_coverage,3.0,732749,732749,12559,383994,10791,15062,10791,2466,138
1,select_coverage,4.0,732749,732749,16342,499068,10635,15055,10635,2411,138
1,select_coverage_CBA_M1,,732749,732749,3405,100518,15900,17532,15900,3738,138
2,select_coverage,1.0,732749,732749,4469,136884,11533,15124,11533,2706,138
2,select_coverage,2.0,732749,732749,8743,267827,11093,15081,11093,2541,138
2,select_coverage,3.0,732749,732749,12559,383994,10791,15062,10791,2466,138
2,select_coverage,4.0,732749,732749,16342,499068,10635,15055,10635,2411,138
2,select_coverage_CBA_M1,,732749,732749,3405,100518,15900,17532,15900,3738,138
1,select_coverage,1.0,692039,692039,4495,137633,11455,15162,11455,2656,148
1,select_coverage,2.0,692039,692039,8744,267565,11042,15144,11042,2472,148
1,select_coverage,3.0,692039,692039,12488,381544,10751,15123,10751,2375,148
1,select_coverage,4.0,692039,692039,16098,491071,10588,15114,10588,2329,148
1,select_coverage_CBA_M1,,692039,692039,2979,86467,17961,19038,17961,4089,148
2,select_coverage,1.0,692039,692039,4495,137633,11455,15162,11455,2656,148
2,select_coverage,2.0,692039,692039,8744,267565,11042,15144,11042,2472,148
2,select_coverage,3.0,692039,692039,12488,381544,10751,15123,10751,2375,148
2,select_coverage,4.0,692039,692039,16098,491071,10588,15114,10588,2329,148
2,select_coverage_CBA_M1,,692039,692039,2979,86467,17961,19038,17961,4089,148
