id_uci,nclients,seed,data_name,train_size,number_classes,majority_class,ranking,selection,param,consolidation,round1_n_rules,round1_n_items_antecedent,round2_n_rules,round2_n_items_antecedent,final_nrules,final_total_items,default_class,comm_cost
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,1.0,DAC,79,1026,,,75,994,nowin,5068
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,1.0,exact,79,1026,75.0,994.0,75,994,nowin,13872
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,2.0,DAC,172,2293,,,164,2219,nowin,11252
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,2.0,exact,172,2293,164.0,2219.0,164,2219,nowin,30876
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,3.0,DAC,262,3530,,,246,3373,nowin,17280
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,3.0,exact,262,3530,246.0,3373.0,246,3373,nowin,47024
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,4.0,DAC,349,4753,,,324,4482,nowin,23216
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,4.0,exact,349,4753,324.0,4482.0,324,4482,nowin,62660
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage_CBA_M1,,DAC,65,846,,,61,814,nowin,4180
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage_CBA_M1,,exact,65,846,61.0,814.0,61,814,nowin,11376
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage,1.0,exact,79,1026,75.0,994.0,75,994,nowin,13872
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage,2.0,exact,172,2293,164.0,2219.0,164,2219,nowin,30876
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage,3.0,exact,262,3530,246.0,3373.0,246,3373,nowin,47024
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage,4.0,exact,349,4753,324.0,4482.0,324,4482,nowin,62660
22,2,5,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage_CBA_M1,,exact,69,900,65.0,868.0,65,868,nowin,12120
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,1.0,DAC,70,901,,,67,875,nowin,4460
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,1.0,exact,70,901,67.0,875.0,67,875,nowin,12228
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,2.0,DAC,154,2025,,,146,1945,nowin,9964
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,2.0,exact,154,2025,146.0,1945.0,146,1945,nowin,27180
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,3.0,DAC,238,3169,,,225,3037,nowin,15548
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,3.0,exact,238,3169,225.0,3037.0,225,3037,nowin,42388
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,4.0,DAC,324,4361,,,307,4184,nowin,21348
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,4.0,exact,324,4361,307.0,4184.0,307,4184,nowin,58300
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage_CBA_M1,,DAC,58,734,,,55,708,nowin,3648
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage_CBA_M1,,exact,58,734,55.0,708.0,55,708,nowin,9936
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage,1.0,exact,70,901,67.0,875.0,67,875,nowin,12228
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage,2.0,exact,154,2025,146.0,1945.0,146,1945,nowin,27180
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage,3.0,exact,238,3169,225.0,3037.0,225,3037,nowin,42388
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage,4.0,exact,324,4361,307.0,4184.0,307,4184,nowin,58300
22,2,14,Chess (King-Rook vs. King-Pawn),2556,2,won,2,select_coverage_CBA_M1,,exact,60,759,57.0,733.0,57,733,nowin,10284
22,2,17,Chess (King-Rook vs. King-Pawn),2556,2,won,1,select_coverage,1.0,DAC,69,874,,,66,848,nowin,4340
