seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test,acc_test_maj,bacc_test_maj,f1_test_maj,mcc_test_maj,erros_test_maj,nclients
5,1,select_coverage,1.0,DAC,list,unacc,1,0.916184971098266,0.6809524419617691,0.6948634424619065,0.8061282432474726,29,0.9132947976878611,0.6559524419617692,0.6698648185234624,0.7986409527772721,30.0,2
5,1,select_coverage,1.0,exact,majority,unacc,1,0.8583815028901735,0.609051657869113,0.6290964706371134,0.6541920616151428,49,0.8583815028901735,0.609051657869113,0.6381833575229802,0.6535987369682771,49.0,2
5,1,select_coverage,1.0,exact,cmar,unacc,1,0.884393063583815,0.6962704350945523,0.6524532133006298,0.7346163913237171,40,0.884393063583815,0.6962704350945523,0.6583846003255291,0.7334033612259118,40.0,2
5,1,select_coverage,1.0,exact,top_k_avg,unacc,1,0.7890173410404624,0.4414556962025316,0.4518320906481897,0.4530271430830612,73,0.7890173410404624,0.4414556962025316,0.4587432488613716,0.4521069185825377,73.0,2
5,1,select_coverage,1.0,exact,list,unacc,1,0.8959537572254336,0.6677215189873418,0.6846350209710406,0.7522908605934658,36,0.8959537572254336,0.6677215189873418,0.6928354188390684,0.7519089452492992,36.0,2
5,1,select_coverage,2.0,DAC,list,unacc,0,0.916184971098266,0.6809524419617692,0.6845103343309543,0.8051253995062685,29,,,,,,2
5,1,select_coverage,2.0,exact,majority,unacc,0,0.8410404624277457,0.5660764618459488,0.595828576185719,0.6097458699812839,55,,,,,,2
5,1,select_coverage,2.0,exact,cmar,unacc,0,0.8526011560693642,0.6417772766873366,0.5811558441558442,0.6641934495958745,51,,,,,,2
5,1,select_coverage,2.0,exact,top_k_avg,unacc,0,0.7456647398843931,0.3503164556962025,0.3731278508480581,0.2877427948066632,88,,,,,,2
5,1,select_coverage,2.0,exact,list,unacc,0,0.8872832369942196,0.6582278481012658,0.6747559361792209,0.7327225021938175,39,,,,,,2
5,1,select_coverage,3.0,DAC,list,unacc,0,0.916184971098266,0.6809524419617692,0.6845103343309543,0.8051253995062685,29,,,,,,2
5,1,select_coverage,3.0,exact,majority,unacc,0,0.8236994219653179,0.5449367088607595,0.581965599709549,0.5636030043110193,61,,,,,,2
5,1,select_coverage,3.0,exact,cmar,unacc,0,0.861271676300578,0.6208258596832881,0.5921942988595549,0.6719530018312765,48,,,,,,2
5,1,select_coverage,3.0,exact,top_k_avg,unacc,0,0.7485549132947977,0.3098101265822785,0.3191302004555016,0.3042931045114962,87,,,,,,2
5,1,select_coverage,3.0,exact,list,unacc,0,0.8930635838150289,0.6863924050632911,0.6978890075333996,0.7473481302873649,37,,,,,,2
5,1,select_coverage,4.0,DAC,list,unacc,0,0.916184971098266,0.6809524419617692,0.6845103343309543,0.8051253995062685,29,,,,,,2
5,1,select_coverage,4.0,exact,majority,unacc,0,0.8179190751445087,0.4949367088607594,0.5151835542194183,0.5437462706316799,63,,,,,,2
5,1,select_coverage,4.0,exact,cmar,unacc,0,0.8670520231213873,0.6293073848203761,0.6028642453347178,0.6852396819158854,46,,,,,,2
5,1,select_coverage,4.0,exact,top_k_avg,unacc,0,0.7398843930635838,0.3003164556962026,0.3027444253859348,0.2591368254711402,90,,,,,,2
5,1,select_coverage,4.0,exact,list,unacc,0,0.8930635838150289,0.6863924050632911,0.6978890075333996,0.7473481302873649,37,,,,,,2
5,1,select_coverage_CBA_M1,,DAC,list,unacc,18,0.9248554913294798,0.6729154922359453,0.6780744744115312,0.8322998067796498,26,0.9046242774566474,0.6443063598626557,0.6649314981730885,0.7744333947615565,33.0,2
5,1,select_coverage_CBA_M1,,exact,majority,unacc,21,0.9248554913294798,0.7187387895249322,0.7148240058113028,0.8324628452576682,26,0.8959537572254336,0.6806359862655667,0.6941614797143104,0.7534925547413693,36.0,2
5,1,select_coverage_CBA_M1,,exact,cmar,unacc,21,0.9017341040462428,0.7238674217188541,0.6842136962960762,0.7856721101714885,34,0.8728323699421965,0.6857646184594886,0.6615664160401004,0.7032403669726217,44.0,2
5,1,select_coverage_CBA_M1,,exact,top_k_avg,unacc,21,0.9219653179190752,0.7134218213498693,0.7044836116264688,0.8235966466327775,27,0.8930635838150289,0.6753190180905038,0.6831921218051356,0.745413895848025,37.0,2
5,1,select_coverage_CBA_M1,,exact,list,unacc,21,0.9277456647398844,0.71975093527392,0.7166464798441596,0.8381764574393575,25,0.8988439306358381,0.6816481320145544,0.6960712582573846,0.7602515076926362,35.0,2
5,2,select_coverage,1.0,exact,majority,unacc,1,0.8554913294797688,0.6058871009070876,0.617844544268908,0.6472589812156387,50,0.8554913294797688,0.6058871009070876,0.6260656302889739,0.646593003695533,50.0,2
5,2,select_coverage,1.0,exact,cmar,unacc,1,0.884393063583815,0.6962704350945523,0.6524532133006298,0.7346163913237171,40,0.884393063583815,0.6962704350945523,0.6583846003255291,0.7334033612259118,40.0,2
5,2,select_coverage,1.0,exact,top_k_avg,unacc,1,0.7890173410404624,0.4414556962025316,0.4518320906481897,0.4530271430830612,73,0.7890173410404624,0.4414556962025316,0.4587432488613716,0.4521069185825377,73.0,2
5,2,select_coverage,1.0,exact,list,unacc,1,0.8872832369942196,0.6603802593143033,0.6627536698188872,0.7319072682334579,39,0.8872832369942196,0.6603802593143033,0.6702012903602499,0.731329324440909,39.0,2
5,2,select_coverage,2.0,exact,majority,unacc,0,0.838150289017341,0.5629119048839235,0.5845890803873997,0.6024885114566021,56,,,,,,2
5,2,select_coverage,2.0,exact,cmar,unacc,0,0.8526011560693642,0.6417772766873366,0.5811558441558442,0.6641934495958745,51,,,,,,2
5,2,select_coverage,2.0,exact,top_k_avg,unacc,0,0.7456647398843931,0.3503164556962025,0.3731278508480581,0.2877427948066632,88,,,,,,2
5,2,select_coverage,2.0,exact,list,unacc,0,0.8728323699421965,0.6445574745041767,0.6380201485131057,0.6993498083691831,44,,,,,,2
5,2,select_coverage,3.0,exact,majority,unacc,0,0.8236994219653179,0.5449367088607595,0.581965599709549,0.5636030043110193,61,,,,,,2
5,2,select_coverage,3.0,exact,cmar,unacc,0,0.861271676300578,0.6208258596832881,0.5921942988595549,0.6719530018312765,48,,,,,,2
5,2,select_coverage,3.0,exact,top_k_avg,unacc,0,0.7485549132947977,0.3098101265822785,0.3191302004555016,0.3042931045114962,87,,,,,,2
5,2,select_coverage,3.0,exact,list,unacc,0,0.8786127167630058,0.6727220314662019,0.6590795799595142,0.7139699287474753,42,,,,,,2
5,2,select_coverage,4.0,exact,majority,unacc,0,0.8179190751445087,0.4949367088607594,0.5151835542194183,0.5437462706316799,63,,,,,,2
5,2,select_coverage,4.0,exact,cmar,unacc,0,0.8670520231213873,0.6293073848203761,0.6028642453347178,0.6852396819158854,46,,,,,,2
5,2,select_coverage,4.0,exact,top_k_avg,unacc,0,0.7398843930635838,0.3003164556962026,0.3027444253859348,0.2591368254711402,90,,,,,,2
5,2,select_coverage,4.0,exact,list,unacc,0,0.8786127167630058,0.6727220314662019,0.6590795799595142,0.7139699287474753,42,,,,,,2
5,2,select_coverage_CBA_M1,,exact,majority,unacc,30,0.9132947976878611,0.7082329728898682,0.6882839232432728,0.8079444868859315,30,0.8670520231213873,0.6489904166453133,0.6504538617693771,0.6831371838847793,46.0,2
5,2,select_coverage_CBA_M1,,exact,cmar,unacc,30,0.9017341040462428,0.7238674217188541,0.6842136962960762,0.7856721101714885,34,0.8554913294797688,0.6646248654742992,0.644990253411306,0.6570929627278039,50.0,2
5,2,select_coverage_CBA_M1,,exact,top_k_avg,unacc,30,0.9219653179190752,0.7352572643878441,0.7255874686740285,0.8237687095724626,27,0.8757225433526011,0.676014708143289,0.6879178484054644,0.7026376584217476,43.0,2
5,2,select_coverage_CBA_M1,,exact,list,unacc,30,0.916184971098266,0.7092451186388562,0.6901005335602405,0.813551341482963,29,0.869942196531792,0.6500025623943013,0.6523439885981879,0.6902196906015323,45.0,2
14,1,select_coverage,1.0,DAC,list,unacc,6,0.9046242774566474,0.6562086159184028,0.6693991427838036,0.7925363062997011,33,,,,,,2
14,1,select_coverage,1.0,exact,majority,unacc,7,0.8670520231213873,0.626641651031895,0.6808296671962198,0.7026696194850678,46,0.8670520231213873,0.626641651031895,0.6862439070116236,0.7038961468289997,46.0,2
14,1,select_coverage,1.0,exact,cmar,unacc,7,0.884393063583815,0.6314995979630126,0.6485165272799681,0.7477343706983737,40,0.884393063583815,0.6314995979630126,0.6539036501004046,0.7463107048954528,40.0,2
14,1,select_coverage,1.0,exact,top_k_avg,unacc,7,0.7225433526011561,0.3974135620477084,0.4232645769531015,0.3017342078004092,96,0.7225433526011561,0.3974135620477084,0.4226287600258526,0.3010215050906077,96.0,2
14,1,select_coverage,1.0,exact,list,unacc,7,0.8670520231213873,0.626641651031895,0.6699919567025207,0.7036865891009164,46,0.8670520231213873,0.626641651031895,0.6753801995106343,0.7044461257532072,46.0,2
14,1,select_coverage,2.0,DAC,list,unacc,0,0.907514450867052,0.672071830608416,0.6876119860430027,0.7997004823262875,32,,,,,,2
14,1,select_coverage,2.0,exact,majority,unacc,0,0.8208092485549133,0.5603055481104262,0.6178528246291404,0.5890385484742855,62,,,,,,2
