1,2,3,4,5,6,7,8,9,10
1.0,1.0,1.0,1.0,1.0,0.998768782693555,0.9993844055725503,0.9975374459753532,0.9975374459753532,0.9975374459753532
1.0,1.0,1.0,1.0,1.0,0.998762368696839,0.998762368696839,0.998762368696839,0.998762368696839,0.998762368696839
1.0,1.0,1.0,1.0,1.0,0.9993844326230255,0.9975375653871099,0.9975375653871099,0.9975375653871099,0.9975375653871099
1.0,1.0,1.0,1.0,1.0,1.0,0.9993845398687498,0.9987690624876906,0.9987690624876906,0.9987690624876906
1.0,1.0,1.0,1.0,1.0,1.0,0.9975383039899168,0.9993845920792267,0.9975383039899168,0.996922909121482
1.0,1.0,1.0,1.0,1.0,0.9962975620870358,0.9962975620870358,0.9962975620870358,0.9962975620870358,0.9956807662909155
1.0,1.0,1.0,1.0,1.0,0.9981522339396911,0.9975360345470701,0.9969201610992655,0.9963040518206051,0.9963040518206051
1.0,1.0,1.0,1.0,1.0,0.999383718253431,0.9987673780728317,0.999383718253431,0.9981511547602929,0.9987673780728317
1.0,1.0,1.0,1.0,1.0,1.0,0.9981538014081098,0.9969230349743939,0.9969230349743939,0.9975384382337348
1.0,1.0,1.0,1.0,1.0,0.9993842422864505,1.0,0.9987684467726484,0.9987684467726484,0.9987684467726484
1.0,1.0,1.0,1.0,1.0,0.9993829666129879,1.0,0.9993828869422294,0.998765854029012,0.998765854029012
1.0,1.0,1.0,1.0,1.0,0.9987660114757135,0.9987660114757135,0.9981488998389638,0.9981488998389638,0.9981488998389638
1.0,1.0,1.0,1.0,1.0,0.9993845818242963,1.0,0.9987691519949584,0.9987691519949584,0.9987691519949584
1.0,1.0,1.0,1.0,1.0,1.0,0.9963061689630299,0.9963061689630299,0.9956906365772706,0.9956906365772706
1.0,1.0,1.0,1.0,1.0,1.0,0.9975337534299799,0.9975337534299799,0.9975337534299799,0.9975337534299799
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993844326230255,0.9987688386625573,0.9981532167176506
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987648296453047,0.9981471071496579,0.9981471071496579
1.0,1.0,1.0,1.0,1.0,0.9993842040183245,0.9987683683647266,0.9975367367294534,0.9975367367294534,0.9975367367294534
1.0,1.0,1.0,1.0,1.0,0.9975317080580238,0.9969144347111474,0.9969144347111474,0.9969144347111474,0.9969144347111474
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993835358939545,0.9993835358939545
