ranking,selection,param,mined,after_pruning,classifier,total_items,no_cov_ant,no_cov_rule,no_matches_train,no_matches_test,seed
1,select_coverage,1.0,8607,8607,369,1642.0,0.0,86.0,0,2,5
1,select_coverage,2.0,8607,8607,683,3166.0,0.0,39.0,0,0,5
1,select_coverage,3.0,8607,8607,954,4348.0,0.0,26.0,0,0,5
1,select_coverage,4.0,8607,8607,1156,5196.0,0.0,36.0,0,0,5
1,select_coverage_CBA_M1,,8607,8607,206,938.0,949.0,979.0,949,249,5
2,select_coverage,1.0,8607,8607,369,1642.0,0.0,86.0,0,2,5
2,select_coverage,2.0,8607,8607,683,3166.0,0.0,39.0,0,0,5
2,select_coverage,3.0,8607,8607,955,4354.0,0.0,26.0,0,0,5
2,select_coverage,4.0,8607,8607,1156,5196.0,0.0,36.0,0,0,5
2,select_coverage_CBA_M1,,8607,8607,206,938.0,949.0,979.0,949,249,5
1,select_coverage,1.0,8655,8655,380,1677.0,0.0,60.0,0,4,14
1,select_coverage,2.0,8655,8655,685,3166.0,0.0,40.0,0,1,14
1,select_coverage,3.0,8655,8655,953,4372.0,0.0,20.0,0,0,14
1,select_coverage,4.0,8655,8655,1157,5248.0,0.0,16.0,0,0,14
1,select_coverage_CBA_M1,,8655,8655,189,846.0,1043.0,1067.0,1043,262,14
2,select_coverage,1.0,8655,8655,380,1677.0,0.0,60.0,0,4,14
2,select_coverage,2.0,8655,8655,685,3166.0,0.0,40.0,0,1,14
2,select_coverage,3.0,8655,8655,953,4372.0,0.0,20.0,0,0,14
2,select_coverage,4.0,8655,8655,1157,5250.0,0.0,15.0,0,0,14
2,select_coverage_CBA_M1,,8655,8655,189,846.0,1043.0,1067.0,1043,262,14
1,select_coverage,1.0,8622,8622,365,1610.0,0.0,59.0,0,2,17
1,select_coverage,2.0,8622,8622,663,3035.0,0.0,73.0,0,0,17
1,select_coverage,3.0,8622,8622,936,4237.0,0.0,53.0,0,0,17
1,select_coverage,4.0,8622,8622,1162,5223.0,0.0,23.0,0,0,17
