seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test
5,1,select_coverage,1.0,DAC,list,win,0,0.668590882178804,0.35315794389511845,0.3085256678382838,0.13466075142175088,4478
5,1,select_coverage,1.0,exact,list,win,1,0.7667258732978094,0.4911729273737282,0.4970191551740773,0.4810701842687212,3152
5,1,select_coverage,2.0,DAC,list,win,0,0.6659265837773831,0.3487657220510019,0.2997975805028699,0.11544112401506922,4514
5,1,select_coverage,2.0,exact,list,win,0,0.7707223208999407,0.4983805372802152,0.5054695039909085,0.4907969473299721,3098
5,1,select_coverage,3.0,DAC,list,win,0,0.6644464179988159,0.34563302456321193,0.2930287380956151,0.1034961151234442,4534
5,1,select_coverage,3.0,exact,list,win,0,0.7740526939017169,0.5048147006981015,0.5137826936652315,0.4991499144296032,3053
5,1,select_coverage,4.0,DAC,list,win,0,0.6634103019538188,0.34385406274824243,0.2893006469463669,0.09474561215512814,4548
5,1,select_coverage,4.0,exact,list,win,0,0.7753848431024275,0.5084753391929391,0.5182267270840942,0.502131018597146,3035
5,1,select_coverage_CBA_M1,,DAC,list,win,0,0.668590882178804,0.35315794389511845,0.3085256678382838,0.13466075142175088,4478
5,1,select_coverage_CBA_M1,,exact,list,win,1,0.7653197158081705,0.4889856706800924,0.49461802910566116,0.47748968289429505,3171
14,1,select_coverage,1.0,DAC,list,win,0,0.6919034931912375,0.38261550037349096,0.3571964614503158,0.25131669611844976,4163
14,1,select_coverage,1.0,exact,list,win,0,0.7555506216696269,0.47292697923772725,0.4765957161859744,0.4529586368227405,3303
14,1,select_coverage,2.0,DAC,list,win,0,0.6871669626998224,0.3754179484021327,0.34534399285902606,0.23276422588529602,4227
14,1,select_coverage,2.0,exact,list,win,0,0.7599911190053286,0.48064023986843285,0.48594307572588163,0.46415997301971096,3243
14,1,select_coverage,3.0,DAC,list,win,0,0.6845026642984015,0.3711212180039208,0.33789366541693844,0.2221268599524051,4263
14,1,select_coverage,3.0,exact,list,win,0,0.7625814091178212,0.4865086780298859,0.4936499330976733,0.47022703090963724,3208
14,1,select_coverage,4.0,DAC,list,win,0,0.6816903493191238,0.3671885520093574,0.33111022349897207,0.20927439418071053,4301
14,1,select_coverage,4.0,exact,list,win,0,0.7659117821195974,0.4942683836258969,0.5049279746940483,0.4786665784617698,3163
14,1,select_coverage_CBA_M1,,DAC,list,win,0,0.6919034931912375,0.38261550037349096,0.3571964614503158,0.25131669611844976,4163
14,1,select_coverage_CBA_M1,,exact,list,win,0,0.7555506216696269,0.47292697923772725,0.4765957161859744,0.4529586368227405,3303
17,1,select_coverage,1.0,DAC,list,win,1,0.6727353463587922,0.36109476981518823,0.3239511992510284,0.16041660517937606,4422
17,1,select_coverage,1.0,exact,list,win,1,0.7732386027235051,0.4982307931797738,0.5037842676310407,0.49875502946781464,3064
17,1,select_coverage,2.0,DAC,list,win,0,0.6701450562462996,0.3558292211337075,0.3136062417843341,0.14439052059687868,4457
17,1,select_coverage,2.0,exact,list,win,0,0.7790112492599172,0.5081893277135573,0.5153066850608731,0.5129123010311262,2986
17,1,select_coverage,3.0,DAC,list,win,0,0.6679248075784487,0.35219634903084357,0.3064584991878661,0.12936032763356098,4487
17,1,select_coverage,3.0,exact,list,win,0,0.7810834813499112,0.5128547043414017,0.521196461452441,0.5175981922637588,2958
17,1,select_coverage,4.0,DAC,list,win,0,0.6657785671995263,0.348409968272633,0.29892249067235094,0.11404020074337548,4516
17,1,select_coverage,4.0,exact,list,win,0,0.7838217880402605,0.518866476133274,0.5293674882174776,0.5242349785531402,2921
17,1,select_coverage_CBA_M1,,DAC,list,win,1,0.6726613380698638,0.36105729557872573,0.3239187778699709,0.16003618047108004,4423
17,1,select_coverage_CBA_M1,,exact,list,win,1,0.772202486678508,0.4965772636152539,0.502201693941231,0.49628329932030774,3078
19,1,select_coverage,1.0,DAC,list,win,0,0.6767317939609236,0.36213919235283853,0.32317598788065344,0.18126513134277303,4368
19,1,select_coverage,1.0,exact,list,win,0,0.7698342214328004,0.4938729010430614,0.4996163147781356,0.48985414426799634,3110
19,1,select_coverage,2.0,DAC,list,win,0,0.6738454706927176,0.3573537424938906,0.31410117458211,0.16636964202854895,4407
19,1,select_coverage,2.0,exact,list,win,0,0.775902901124926,0.5050232348792405,0.5139448347134479,0.5051422526181341,3028
19,1,select_coverage,3.0,DAC,list,win,0,0.6719212551805802,0.35462336083957374,0.3090245530354705,0.1550497546258333,4433
19,1,select_coverage,3.0,exact,list,win,0,0.7793812907045589,0.5124160415554682,0.5241948989868058,0.5137944143222327,2981
19,1,select_coverage,4.0,DAC,list,win,0,0.6711811722912966,0.35314966902544853,0.30605100813258773,0.15073972981668032,4443
19,1,select_coverage,4.0,exact,list,win,0,0.7819715808170515,0.51715842397901,0.5311039071340241,0.520585172724919,2946
19,1,select_coverage_CBA_M1,,DAC,list,win,0,0.676805802249852,0.3621766665893009,0.32319451698149004,0.1816749995978684,4367
19,1,select_coverage_CBA_M1,,exact,list,win,1,0.7685760805210183,0.49198151651870464,0.4977759584254972,0.4867449435458031,3127
29,1,select_coverage,1.0,DAC,list,win,0,0.6699970396684428,0.3706507696597338,0.344537501930459,0.15945817405939505,4459
29,1,select_coverage,1.0,exact,list,win,2,0.7805654233274126,0.515303350651504,0.5250073254379478,0.5154518011654804,2965
29,1,select_coverage,2.0,DAC,list,win,0,0.6643724097098875,0.36491778592824936,0.3363219337779184,0.13565688796404382,4535
29,1,select_coverage,2.0,exact,list,win,0,0.7827116637063352,0.521233417731896,0.5326009802883186,0.520420004349396,2936
29,1,select_coverage,3.0,DAC,list,win,0,0.6650384843102427,0.3661330798095581,0.33826271668481905,0.13864812492654194,4526
29,1,select_coverage,3.0,exact,list,win,0,0.7846358792184724,0.5259193373327201,0.5384644519633387,0.5250466118047719,2910
29,1,select_coverage,4.0,DAC,list,win,0,0.6634843102427472,0.3614221112430965,0.329768276462234,0.12611050157371514,4547
29,1,select_coverage,4.0,exact,list,win,0,0.7851539372409709,0.5280417034885597,0.5418748606072495,0.5263251626604888,2903
29,1,select_coverage_CBA_M1,,DAC,list,win,1,0.670219064535228,0.37019307820982855,0.34303401289991947,0.15872415259215245,4456
29,1,select_coverage_CBA_M1,,exact,list,win,2,0.7803433984606276,0.5142445170314754,0.5230998537018218,0.5149435702727279,2968
31,1,select_coverage,1.0,DAC,list,win,1,0.6736234458259325,0.36477008932761107,0.33099428378393797,0.1639810747391803,4410
31,1,select_coverage,1.0,exact,list,win,4,0.7821936056838366,0.5121098784502194,0.5164531794463613,0.5203278320657734,2943
31,1,select_coverage,2.0,DAC,list,win,1,0.6732534043812907,0.3627311751931006,0.3267715567146239,0.16107661706987467,4415
31,1,select_coverage,2.0,exact,list,win,4,0.7879662522202486,0.5241222768925494,0.5321192401493339,0.534241874812241,2865
31,1,select_coverage,3.0,DAC,list,win,1,0.6719212551805802,0.36030058743048315,0.3223325962032233,0.15349604208707787,4433
31,1,select_coverage,3.0,exact,list,win,3,0.7893724097098875,0.5282379652442821,0.5388858137586946,0.5377143844636888,2846
31,1,select_coverage,4.0,DAC,list,win,0,0.6720692717584369,0.359560226275486,0.32058625197478513,0.15402057486534165,4431
31,1,select_coverage,4.0,exact,list,win,3,0.7910005920663115,0.5321168858424637,0.5445051653063994,0.5417060515269784,2824
31,1,select_coverage_CBA_M1,,DAC,list,win,1,0.6736234458259325,0.36477008932761107,0.3310053297475501,0.1640465924793232,4410
31,1,select_coverage_CBA_M1,,exact,list,win,4,0.7820455891059799,0.5118140062809404,0.5158693765310778,0.5199185912521582,2945
34,1,select_coverage,1.0,DAC,list,win,1,0.5780787448194198,0.3813868869381964,0.3709509098920809,0.09591951214979837,5701
34,1,select_coverage,1.0,exact,list,win,1,0.7596210775606868,0.476902321320584,0.48127909079240244,0.46506891002483713,3248
34,1,select_coverage,2.0,DAC,list,win,0,0.5606127886323268,0.3755246392122444,0.3615584618356637,0.08388590039520406,5937
34,1,select_coverage,2.0,exact,list,win,0,0.7663558318531676,0.48876338552013876,0.49629800233927773,0.4819369925368145,3157
34,1,select_coverage,3.0,DAC,list,win,0,0.5593546477205447,0.37363325468788755,0.35861418973932263,0.07953483526269708,5954
34,1,select_coverage,3.0,exact,list,win,0,0.7682060390763765,0.49474020757875986,0.5063169622085374,0.4864174105455974,3132
34,1,select_coverage,4.0,DAC,list,win,0,0.5586145648312612,0.3725059188205659,0.3568408930350688,0.07689772923550038,5964
34,1,select_coverage,4.0,exact,list,win,0,0.7716104203670812,0.5021881969482949,0.5163996589423202,0.49475394683396773,3086
34,1,select_coverage_CBA_M1,,DAC,list,win,1,0.5781527531083481,0.38164528487101296,0.3711433870943012,0.09611658005444348,5700
34,1,select_coverage_CBA_M1,,exact,list,win,1,0.7593990526939017,0.47660175023552237,0.48095186068380064,0.464472963641409,3251
42,1,select_coverage,1.0,DAC,list,win,0,0.6755476613380699,0.3662247112212918,0.3333292988892063,0.1753840909704658,4384
42,1,select_coverage,1.0,exact,list,win,0,0.7661338069863824,0.48788986575964977,0.4942599928350447,0.48142848392753285,3160
42,1,select_coverage,2.0,DAC,list,win,0,0.6716992303137952,0.36004129521450573,0.32212485063712376,0.1540979948230475,4436
42,1,select_coverage,2.0,exact,list,win,0,0.7704262877442274,0.49508633052472234,0.5027344634441467,0.49217292298043475,3102
42,1,select_coverage,3.0,DAC,list,win,0,0.6702930728241563,0.3580122460919993,0.31846879563419,0.14608832249847017,4455
42,1,select_coverage,3.0,exact,list,win,0,0.7730905861456483,0.5015651915980651,0.5120633692355351,0.49851361574958825,3066
42,1,select_coverage,4.0,DAC,list,win,0,0.6691829484902309,0.3562257508451123,0.31513334523856606,0.13927728783925605,4470
42,1,select_coverage,4.0,exact,list,win,0,0.7756808762581409,0.5076302816835968,0.5209080262651884,0.5049258224009658,3031
42,1,select_coverage_CBA_M1,,DAC,list,win,0,0.6755476613380699,0.3662247112212918,0.3333292988892063,0.1753840909704658,4384
42,1,select_coverage_CBA_M1,,exact,list,win,2,0.7661338069863824,0.4878271496344251,0.49421357073598743,0.48147819180517054,3160
49,1,select_coverage,1.0,DAC,list,win,0,0.6409117821195974,0.36396363569624596,0.34720433246249427,0.09659934710383768,4852
49,1,select_coverage,1.0,exact,list,win,2,0.7780491415038484,0.5109148576066832,0.5192791123169817,0.5090507402704814,2999
49,1,select_coverage,2.0,DAC,list,win,0,0.6355831853167555,0.3619853088529683,0.34575626227346024,0.08879629870233606,4924
49,1,select_coverage,2.0,exact,list,win,2,0.7824156305506217,0.5195698302322473,0.529836074740118,0.519803677948343,2940
49,1,select_coverage,3.0,DAC,list,win,0,0.6358052101835405,0.3639792153190988,0.3488202907732049,0.09385667752028691,4921
49,1,select_coverage,3.0,exact,list,win,1,0.7834517465956187,0.5233071645098589,0.535295351792158,0.5221649441807532,2926
49,1,select_coverage,4.0,DAC,list,win,0,0.6352131438721137,0.36305226017515163,0.3475530165093459,0.09092095569028959,4929
49,1,select_coverage,4.0,exact,list,win,0,0.7841918294849023,0.5257301017507601,0.5391138227636615,0.5240114031432509,2916
49,1,select_coverage_CBA_M1,,DAC,list,win,0,0.6409117821195974,0.36396363569624596,0.34720433246249427,0.09659934710383768,4852
49,1,select_coverage_CBA_M1,,exact,list,win,4,0.7729425695677916,0.5022727774323825,0.5110883433797908,0.49687444216650684,3068
63,1,select_coverage,1.0,DAC,list,win,0,0.6825784487862641,0.37002145560544797,0.33660437701162144,0.20999592886643198,4289
63,1,select_coverage,1.0,exact,list,win,0,0.7767910005920663,0.5051451725099918,0.5105781388743661,0.5066778198572842,3016
63,1,select_coverage,2.0,DAC,list,win,0,0.6781379514505624,0.36344558877719274,0.3250807378834409,0.18893795831924914,4349
63,1,select_coverage,2.0,exact,list,win,0,0.7807874481941978,0.5132393117180301,0.5212899389931483,0.5164533428603831,2962
63,1,select_coverage,3.0,DAC,list,win,0,0.6745855535820012,0.3582601546648582,0.31568928408739266,0.17036239350808396,4397
