seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test
5,1,select_coverage,1.0,DAC,list,0,0,0.632183908045977,0.6342494714587738,0.6209150326797386,0.2873413479529365,32
5,1,select_coverage,1.0,exact,list,0,2,1.0,1.0,1.0,1.0,0
5,1,select_coverage,2.0,DAC,list,0,0,0.6091954022988506,0.6109936575052854,0.6002702702702702,0.23350203463360858,34
5,1,select_coverage,2.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
5,1,select_coverage,3.0,DAC,list,0,0,0.6091954022988506,0.6109936575052854,0.6002702702702702,0.23350203463360858,34
5,1,select_coverage,3.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
5,1,select_coverage,4.0,DAC,list,0,0,0.6091954022988506,0.6109936575052854,0.6002702702702702,0.23350203463360858,34
5,1,select_coverage,4.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
5,1,select_coverage_CBA_M1,,DAC,list,0,7,0.6436781609195402,0.6461416490486258,0.6277432712215321,0.32292280496476206,31
5,1,select_coverage_CBA_M1,,exact,list,0,18,1.0,1.0,1.0,1.0,0
14,1,select_coverage,1.0,DAC,list,0,0,0.8620689655172413,0.861522198731501,0.8616118769883351,0.7268965525754266,12
14,1,select_coverage,1.0,exact,list,0,2,1.0,1.0,1.0,1.0,0
14,1,select_coverage,2.0,DAC,list,0,0,0.8275862068965517,0.8266384778012685,0.8261159227181878,0.6631649526514781,15
14,1,select_coverage,2.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
14,1,select_coverage,3.0,DAC,list,0,0,0.8275862068965517,0.8266384778012685,0.8261159227181878,0.6631649526514781,15
14,1,select_coverage,3.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
14,1,select_coverage,4.0,DAC,list,0,0,0.8275862068965517,0.8266384778012685,0.8261159227181878,0.6631649526514781,15
14,1,select_coverage,4.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
14,1,select_coverage_CBA_M1,,DAC,list,0,17,0.8160919540229885,0.8150105708245243,0.8141025641025641,0.6423622274339319,16
14,1,select_coverage_CBA_M1,,exact,list,0,23,1.0,1.0,1.0,1.0,0
17,1,select_coverage,1.0,DAC,list,0,0,0.9425287356321839,0.9421247357293869,0.9424069905997616,0.8870670552475728,5
17,1,select_coverage,1.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
17,1,select_coverage,2.0,DAC,list,0,0,0.9425287356321839,0.9421247357293869,0.9424069905997616,0.8870670552475728,5
17,1,select_coverage,2.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
17,1,select_coverage,3.0,DAC,list,0,0,0.9425287356321839,0.9421247357293869,0.9424069905997616,0.8870670552475728,5
17,1,select_coverage,3.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
17,1,select_coverage,4.0,DAC,list,0,0,0.9425287356321839,0.9421247357293869,0.9424069905997616,0.8870670552475728,5
17,1,select_coverage,4.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
17,1,select_coverage_CBA_M1,,DAC,list,0,10,0.9425287356321839,0.9421247357293869,0.9424069905997616,0.8870670552475728,5
17,1,select_coverage_CBA_M1,,exact,list,0,14,1.0,1.0,1.0,1.0,0
19,1,select_coverage,1.0,DAC,list,0,0,0.9655172413793104,0.9659090909090908,0.965499008592201,0.9332992182735607,3
19,1,select_coverage,1.0,exact,list,0,1,1.0,1.0,1.0,1.0,0
19,1,select_coverage,2.0,DAC,list,0,0,0.8735632183908046,0.8728858350951374,0.8729589804858622,0.7517554917356535,11
19,1,select_coverage,2.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
19,1,select_coverage,3.0,DAC,list,0,0,0.8735632183908046,0.8728858350951374,0.8729589804858622,0.7517554917356535,11
19,1,select_coverage,3.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
19,1,select_coverage,4.0,DAC,list,0,0,0.8735632183908046,0.8728858350951374,0.8729589804858622,0.7517554917356535,11
19,1,select_coverage,4.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
19,1,select_coverage_CBA_M1,,DAC,list,0,20,0.9655172413793104,0.9659090909090908,0.965499008592201,0.9332992182735607,3
19,1,select_coverage_CBA_M1,,exact,list,0,32,1.0,1.0,1.0,1.0,0
29,1,select_coverage,1.0,DAC,list,0,1,0.9310344827586207,0.9302325581395349,0.9305851063829788,0.8701777418008239,6
29,1,select_coverage,1.0,exact,list,0,6,1.0,1.0,1.0,1.0,0
29,1,select_coverage,2.0,DAC,list,0,0,0.9310344827586207,0.9302325581395349,0.9305851063829788,0.8701777418008239,6
29,1,select_coverage,2.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
29,1,select_coverage,3.0,DAC,list,0,0,0.9425287356321839,0.9418604651162791,0.9422540820390283,0.8908116103345235,5
29,1,select_coverage,3.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
29,1,select_coverage,4.0,DAC,list,0,0,0.9425287356321839,0.9418604651162791,0.9422540820390283,0.8908116103345235,5
29,1,select_coverage,4.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
29,1,select_coverage_CBA_M1,,DAC,list,0,31,0.9425287356321839,0.9418604651162791,0.9422540820390283,0.8908116103345235,5
29,1,select_coverage_CBA_M1,,exact,list,0,37,1.0,1.0,1.0,1.0,0
31,1,select_coverage,1.0,DAC,list,1,0,0.6091954022988506,0.611522198731501,0.5936813186813187,0.24361290658148896,34
31,1,select_coverage,1.0,exact,list,1,1,1.0,1.0,1.0,1.0,0
31,1,select_coverage,2.0,DAC,list,1,0,0.5977011494252874,0.6001585623678647,0.5797101449275363,0.2213159911060485,35
31,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
31,1,select_coverage,3.0,DAC,list,1,0,0.6091954022988506,0.611522198731501,0.5936813186813187,0.24361290658148896,34
31,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
31,1,select_coverage,4.0,DAC,list,1,0,0.6091954022988506,0.611522198731501,0.5936813186813187,0.24361290658148896,34
31,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
31,1,select_coverage_CBA_M1,,DAC,list,1,2,0.6091954022988506,0.611522198731501,0.5936813186813187,0.24361290658148896,34
31,1,select_coverage_CBA_M1,,exact,list,1,22,1.0,1.0,1.0,1.0,0
34,1,select_coverage,1.0,DAC,list,0,0,0.735632183908046,0.7386363636363636,0.7175723359209598,0.5576292793811499,23
34,1,select_coverage,1.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
34,1,select_coverage,2.0,DAC,list,0,0,0.735632183908046,0.7386363636363636,0.7175723359209598,0.5576292793811499,23
34,1,select_coverage,2.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
34,1,select_coverage,3.0,DAC,list,0,0,0.735632183908046,0.7386363636363636,0.7175723359209598,0.5576292793811499,23
34,1,select_coverage,3.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
34,1,select_coverage,4.0,DAC,list,0,0,0.735632183908046,0.7386363636363636,0.7175723359209598,0.5576292793811499,23
34,1,select_coverage,4.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
34,1,select_coverage_CBA_M1,,DAC,list,0,2,0.735632183908046,0.7386363636363636,0.7175723359209598,0.5576292793811499,23
34,1,select_coverage_CBA_M1,,exact,list,0,18,1.0,1.0,1.0,1.0,0
42,1,select_coverage,1.0,DAC,list,1,0,0.6896551724137931,0.6900105708245243,0.6894910773298084,0.3806251491427624,27
42,1,select_coverage,1.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
42,1,select_coverage,2.0,DAC,list,1,0,0.6781609195402298,0.6786469344608879,0.6777777777777778,0.35843235466070483,28
42,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
42,1,select_coverage,3.0,DAC,list,1,0,0.6781609195402298,0.6786469344608879,0.6777777777777778,0.35843235466070483,28
42,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
42,1,select_coverage,4.0,DAC,list,1,0,0.6781609195402298,0.6786469344608879,0.6777777777777778,0.35843235466070483,28
42,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
42,1,select_coverage_CBA_M1,,DAC,list,1,4,0.7586206896551724,0.7579281183932347,0.7574671445639187,0.5199952940708702,21
42,1,select_coverage_CBA_M1,,exact,list,1,25,1.0,1.0,1.0,1.0,0
49,1,select_coverage,1.0,DAC,list,1,0,0.7586206896551724,0.7584566596194503,0.7584930601454065,0.5171867460336044,21
49,1,select_coverage,1.0,exact,list,1,1,1.0,1.0,1.0,1.0,0
49,1,select_coverage,2.0,DAC,list,1,0,0.7586206896551724,0.7581923890063424,0.758109360518999,0.5180301930525275,21
49,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
49,1,select_coverage,3.0,DAC,list,1,0,0.7586206896551724,0.7581923890063424,0.758109360518999,0.5180301930525275,21
49,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
49,1,select_coverage,4.0,DAC,list,1,0,0.7586206896551724,0.7581923890063424,0.758109360518999,0.5180301930525275,21
49,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
49,1,select_coverage_CBA_M1,,DAC,list,1,12,0.8505747126436781,0.8488372093023255,0.8466024684660247,0.7338635374199127,13
49,1,select_coverage_CBA_M1,,exact,list,1,23,1.0,1.0,1.0,1.0,0
63,1,select_coverage,1.0,DAC,list,1,2,0.7471264367816092,0.7478858350951374,0.746288441145281,0.4997495756541765,22
63,1,select_coverage,1.0,exact,list,1,2,1.0,1.0,1.0,1.0,0
63,1,select_coverage,2.0,DAC,list,1,0,0.735632183908046,0.736522198731501,0.73436877737953,0.4783839551054898,23
63,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
63,1,select_coverage,3.0,DAC,list,1,0,0.735632183908046,0.736522198731501,0.73436877737953,0.4783839551054898,23
63,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
63,1,select_coverage,4.0,DAC,list,1,0,0.735632183908046,0.736522198731501,0.73436877737953,0.4783839551054898,23
63,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
63,1,select_coverage_CBA_M1,,DAC,list,1,24,0.8390804597701149,0.8409090909090908,0.8354054054054054,0.7171848206603693,14
63,1,select_coverage_CBA_M1,,exact,list,1,34,1.0,1.0,1.0,1.0,0
64,1,select_coverage,1.0,DAC,list,1,3,1.0,1.0,1.0,1.0,0
64,1,select_coverage,1.0,exact,list,1,7,1.0,1.0,1.0,1.0,0
64,1,select_coverage,2.0,DAC,list,1,0,0.8850574712643678,0.8863636363636364,0.8838141025641026,0.7917889075375365,10
64,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
64,1,select_coverage,3.0,DAC,list,1,0,0.9080459770114943,0.9090909090909092,0.9074468085106383,0.8305658144858319,8
64,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
64,1,select_coverage,4.0,DAC,list,1,0,0.9080459770114943,0.9090909090909092,0.9074468085106383,0.8305658144858319,8
64,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
64,1,select_coverage_CBA_M1,,DAC,list,1,41,1.0,1.0,1.0,1.0,0
64,1,select_coverage_CBA_M1,,exact,list,1,41,1.0,1.0,1.0,1.0,0
65,1,select_coverage,1.0,DAC,list,1,1,0.9770114942528736,0.9772727272727273,0.9770084566596194,0.9550503715099073,2
65,1,select_coverage,1.0,exact,list,1,2,1.0,1.0,1.0,1.0,0
65,1,select_coverage,2.0,DAC,list,1,0,0.9655172413793104,0.9659090909090908,0.965499008592201,0.9332992182735607,3
65,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
65,1,select_coverage,3.0,DAC,list,1,0,0.9655172413793104,0.9659090909090908,0.965499008592201,0.9332992182735607,3
65,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
65,1,select_coverage,4.0,DAC,list,1,0,0.9655172413793104,0.9659090909090908,0.965499008592201,0.9332992182735607,3
65,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
65,1,select_coverage_CBA_M1,,DAC,list,1,42,0.9770114942528736,0.9772727272727273,0.9770084566596194,0.9550503715099073,2
65,1,select_coverage_CBA_M1,,exact,list,1,44,1.0,1.0,1.0,1.0,0
68,1,select_coverage,1.0,DAC,list,0,0,0.8735632183908046,0.8731501057082452,0.8732953793194758,0.7486782319244308,11
68,1,select_coverage,1.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
68,1,select_coverage,2.0,DAC,list,0,0,0.8160919540229885,0.8150105708245243,0.8141025641025641,0.6423622274339319,16
68,1,select_coverage,2.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
68,1,select_coverage,3.0,DAC,list,0,0,0.8160919540229885,0.8150105708245243,0.8141025641025641,0.6423622274339319,16
68,1,select_coverage,3.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
68,1,select_coverage,4.0,DAC,list,0,0,0.8160919540229885,0.8150105708245243,0.8141025641025641,0.6423622274339319,16
68,1,select_coverage,4.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
68,1,select_coverage_CBA_M1,,DAC,list,0,12,0.8735632183908046,0.8731501057082452,0.8732953793194758,0.7486782319244308,11
68,1,select_coverage_CBA_M1,,exact,list,0,31,1.0,1.0,1.0,1.0,0
74,1,select_coverage,1.0,DAC,list,1,0,0.7011494252873564,0.7019027484143763,0.7001590668080594,0.40704549658826317,26
74,1,select_coverage,1.0,exact,list,1,2,1.0,1.0,1.0,1.0,0
74,1,select_coverage,2.0,DAC,list,1,0,0.6896551724137931,0.69053911205074,0.6881720430107527,0.3853797001464337,27
74,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
74,1,select_coverage,3.0,DAC,list,1,0,0.6896551724137931,0.69053911205074,0.6881720430107527,0.3853797001464337,27
74,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
74,1,select_coverage,4.0,DAC,list,1,0,0.6896551724137931,0.69053911205074,0.6881720430107527,0.3853797001464337,27
74,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
74,1,select_coverage_CBA_M1,,DAC,list,1,20,0.7011494252873564,0.7019027484143763,0.7001590668080594,0.40704549658826317,26
74,1,select_coverage_CBA_M1,,exact,list,1,34,1.0,1.0,1.0,1.0,0
76,1,select_coverage,1.0,DAC,list,0,0,1.0,1.0,1.0,1.0,0
76,1,select_coverage,1.0,exact,list,0,4,1.0,1.0,1.0,1.0,0
76,1,select_coverage,2.0,DAC,list,0,0,0.9195402298850575,0.9186046511627908,0.9188540972684877,0.8498812985436419,7
76,1,select_coverage,2.0,exact,list,0,4,1.0,1.0,1.0,1.0,0
76,1,select_coverage,3.0,DAC,list,0,0,0.9195402298850575,0.9186046511627908,0.9188540972684877,0.8498812985436419,7
76,1,select_coverage,3.0,exact,list,0,4,1.0,1.0,1.0,1.0,0
76,1,select_coverage,4.0,DAC,list,0,0,0.9195402298850575,0.9186046511627908,0.9188540972684877,0.8498812985436419,7
76,1,select_coverage,4.0,exact,list,0,4,1.0,1.0,1.0,1.0,0
76,1,select_coverage_CBA_M1,,DAC,list,0,26,1.0,1.0,1.0,1.0,0
76,1,select_coverage_CBA_M1,,exact,list,0,28,1.0,1.0,1.0,1.0,0
100,1,select_coverage,1.0,DAC,list,1,0,0.7701149425287356,0.7674418604651163,0.7558922558922558,0.6064095630343694,20
100,1,select_coverage,1.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
100,1,select_coverage,2.0,DAC,list,1,0,0.7126436781609196,0.7106236786469344,0.7025844386708602,0.4508091620442724,25
100,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
100,1,select_coverage,3.0,DAC,list,1,0,0.7126436781609196,0.7106236786469344,0.7025844386708602,0.4508091620442724,25
100,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
100,1,select_coverage,4.0,DAC,list,1,0,0.7126436781609196,0.7106236786469344,0.7025844386708602,0.4508091620442724,25
100,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
100,1,select_coverage_CBA_M1,,DAC,list,1,12,0.8160919540229885,0.813953488372093,0.8087912087912088,0.6785757999509485,16
100,1,select_coverage_CBA_M1,,exact,list,1,19,1.0,1.0,1.0,1.0,0
114,1,select_coverage,1.0,DAC,list,1,0,0.9195402298850575,0.9186046511627908,0.9188540972684877,0.8498812985436419,7
114,1,select_coverage,1.0,exact,list,1,6,1.0,1.0,1.0,1.0,0
114,1,select_coverage,2.0,DAC,list,1,0,0.9195402298850575,0.9186046511627908,0.9188540972684877,0.8498812985436419,7
114,1,select_coverage,2.0,exact,list,1,2,1.0,1.0,1.0,1.0,0
114,1,select_coverage,3.0,DAC,list,1,0,0.9195402298850575,0.9186046511627908,0.9188540972684877,0.8498812985436419,7
114,1,select_coverage,3.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
114,1,select_coverage,4.0,DAC,list,1,0,0.9195402298850575,0.9186046511627908,0.9188540972684877,0.8498812985436419,7
114,1,select_coverage,4.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
114,1,select_coverage_CBA_M1,,DAC,list,1,21,0.9425287356321839,0.9418604651162791,0.9422540820390283,0.8908116103345235,5
114,1,select_coverage_CBA_M1,,exact,list,1,30,1.0,1.0,1.0,1.0,0
133,1,select_coverage,1.0,DAC,list,0,0,0.8275862068965517,0.8290169133192389,0.8252778149685367,0.6780394072640447,15
133,1,select_coverage,1.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
133,1,select_coverage,2.0,DAC,list,0,0,0.7816091954022989,0.7825052854122622,0.7805655117483075,0.5713882100645459,19
133,1,select_coverage,2.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
133,1,select_coverage,3.0,DAC,list,0,0,0.7816091954022989,0.7825052854122622,0.7805655117483075,0.5713882100645459,19
133,1,select_coverage,3.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
133,1,select_coverage,4.0,DAC,list,0,0,0.7816091954022989,0.7825052854122622,0.7805655117483075,0.5713882100645459,19
133,1,select_coverage,4.0,exact,list,0,0,1.0,1.0,1.0,1.0,0
133,1,select_coverage_CBA_M1,,DAC,list,0,14,0.896551724137931,0.8971987315010571,0.896332583079571,0.7986297650006332,9
133,1,select_coverage_CBA_M1,,exact,list,0,21,1.0,1.0,1.0,1.0,0
138,1,select_coverage,1.0,DAC,list,1,1,0.8160919540229885,0.8158033826638478,0.8158730158730159,0.6326106442637011,16
138,1,select_coverage,1.0,exact,list,1,3,1.0,1.0,1.0,1.0,0
138,1,select_coverage,2.0,DAC,list,1,0,0.8160919540229885,0.8158033826638478,0.8158730158730159,0.6326106442637011,16
138,1,select_coverage,2.0,exact,list,1,0,1.0,1.0,1.0,1.0,0
